,p_value
REXO5,0.0017983649784323276
CIAPIN1,1.7301894872457806e-06
SPPL2B,0.0004949659602707948
FAM214B,0.00020274779581858402
COPZ2,0.0015470381310773156
PRKAR2B,2.045909048837429e-05
MSL3,1.1790224533887857e-05
CREBBP,0.0042964871157544285
TSPOAP1,0.00016835918430285795
MPO,0.20547709842657108
PON1,0.19048568635256866
GCFC2,6.719285901494734e-06
WDR54,3.550274482553802e-06
CROT,4.388465402334503e-06
ABCB4,0.0021971121781734866
KMT2E,1.954154956107396e-05
RHBDD2,6.238023947517866e-06
SOX8,0.12905524789671857
ZNF195,3.6243900649201354e-07
MYCBP2,1.6388636551791274e-06
FBXL3,1.2404911469778109e-05
ITGAL,0.2127067479217367
PDK2,0.002287934800112692
ITGA3,0.008932941474061984
ZFX,2.6524356186565823e-06
LAMP2,1.1830506754342747e-06
ITGA2B,0.05795983472177547
ASB4,0.0002380739652791854
GDE1,9.220129730430062e-05
REX1BD,0.0008327433398067887
CRLF1,0.1222691940805699
OSBPL7,0.0016239448074840176
TMEM98,0.01999999910829314
YBX2,0.8878827307764966
KRT33A,0.025412094445686016
MAP3K14,0.030987899086756917
ABCC8,4.424488716783213e-05
CACNG3,0.08720872855395252
TMEM132A,0.010872163876521396
AP2B1,3.734779767843616e-06
TAC1,0.22479000354100898
ZNF263,2.2033258732421756e-05
CX3CL1,0.17484182830365588
SPATA20,0.0001757008148468461
CACNA1G,0.0036688060551770406
TNFRSF12A,0.01296882744135113
DLX6,0.12378836947033009
MAP3K9,6.514019102295738e-06
RALA,0.00017764924577888034
BAIAP2L1,0.030976961928704503
KDM7A,9.8118483578071e-05
ETV1,0.0003004939892954783
AGK,2.636233097333118e-06
ALDH3B1,0.033418947638442255
TTC22,0.00044093189690811406
PHTF2,8.654952446107114e-05
CCL26,0.063083965293545
FARP2,3.670609585645485e-05
USH1C,2.603555132755258e-05
GGCT,9.241651679995632e-07
DBF4,0.003312407251619066
TBXA2R,0.3146824604458687
IFRD1,0.0034578111268293867
LGALS14,0.4347867332664066
COX10,7.431079473220788e-07
GTF2IRD1,1.3140740435477874e-05
PAF1,1.6789746255503625e-05
VPS41,1.673375066589073e-06
ARHGAP44,4.124589210400995e-05
ELAC2,5.439715861493587e-05
SCIN,2.741925784424961e-06
ARSD,0.0034102063232447537
PNPLA4,5.4588298526495735e-09
MYH13,0.27501742290821785
ADIPOR2,2.9945315293513264e-05
CDKL3,6.765105183738898e-05
UPP2,0.1154161176301198
MARK4,0.00011434238146727027
PROM1,0.09935083461019868
CCDC124,0.0002730666514952562
CEACAM21,0.27060093447142036
PAFAH1B1,3.6622905357873146e-05
NOS2,0.3285122440411343
DNAH9,0.0005140449741363784
KIAA0100,4.601358131003869e-05
SLC13A2,0.3003552283664315
GAS7,0.009095892144683638
TRAPPC6A,1.6895834002705076e-05
MATK,0.34511835358784015
CEACAM7,0.26580458247414673
CD79B,0.22207339479017144
SCN4A,0.421407807288556
ST7L,1.3285326745685268e-06
TKTL1,0.9094703618861028
PAX6,9.497931714457819e-05
RPUSD1,0.001493017254301461
RHBDF1,0.20582932409340102
LUC7L,0.0004924565138051187
CACNA2D2,6.633381955430328e-05
BAIAP3,0.0009529957624600117
TSR3,0.0005338156343864864
PIGQ,0.004427743720736861
CRAMP1,0.00018686204350420844
TEAD3,0.09007136844026994
SELE,0.4764604388944538
DNAJC11,3.82439473083218e-06
FMO3,0.04972770667145503
MYLIP,0.0017877071751974212
NOX1,0.8322337575433814
PSMB1,2.0992110393299355e-06
SYN1,7.631895902859658e-05
JARID2,0.0007768109310927852
CDKL5,9.370179270978361e-05
CAMK1G,0.00040352991772871666
CDK11A,0.003147296429401882
NADK,0.00028622660322938825
TFAP2B,0.6420577349260723
TFAP2D,0.3382171681660213
DLEC1,0.08975112593225963
CYTH3,0.0003955364820239623
ADAM22,0.00042709684295682816
SYPL1,5.503329036755856e-07
CYB561,1.4304091073564205e-05
SPAG9,0.0002741462792675361
CELSR3,0.001252701797437671
AASS,1.013577298307452e-05
PLEKHG6,0.011660778196818138
SS18L2,3.105324313884411e-08
MPND,0.000587587542421184
MGST1,0.20690302137464914
CRY1,0.0007582147561409035
PGLYRP1,0.6530957771486471
NFIX,0.017908122856633298
ST3GAL1,0.00034115008404107485
MMP25,0.4433046438600742
IL32,0.49937508683623744
PKD1,0.0006136977857998329
MAPK8IP2,4.508961329089571e-05
MED24,1.6967896312593294e-05
RHOBTB2,3.89710317063444e-05
HEATR5B,1.1803767443599654e-05
SEC62,0.0003703433836566865
RPS20,6.451707742948468e-07
CSDE1,1.930742433905524e-06
UBE3C,6.9115093229111664e-06
REV3L,0.0030426146135423488
TENM1,0.002078068536459353
PAX7,0.2706613325520116
MASP2,0.918187830122356
IYD,0.009466831403827886
FAM76A,1.5240065431874277e-06
TRAF3IP3,0.31467041714935046
POMT2,0.00012672698724795612
VTA1,5.8361279381913916e-08
MLXIPL,0.0008258727783313583
BAZ1B,8.908228442700335e-06
RANBP9,9.426446933537972e-06
ETV7,0.0695107062527637
SPRTN,3.866617172148073e-07
EEF1AKNMT,1.4013888673086754e-05
DYRK4,1.1107297829763314e-05
ZNF207,1.249241494071348e-05
UQCRC1,7.2374941864503e-05
STARD3NL,9.386012410875386e-07
CD9,0.0069511242363756364
HHATL,3.719928131207656e-05
NCAPD2,0.00014860749181701204
IFFO1,0.00031783783201252605
GIPR,0.00012668194880818037
PHF7,0.00021806284340951246
SEMA3G,0.32446688653867806
NISCH,8.105359987295364e-05
STAB1,0.34696236149033044
FUZ,9.197071752842527e-05
SLC6A13,0.14551133351687634
IDS,7.150086323173829e-05
PRSS3,0.5412401469428679
ZNF200,1.1388110754615619e-06
CD4,0.24473449352422985
LRRC23,1.1933559019482185e-05
BTK,0.002343568969319211
HFE,0.0008065902508226726
SCMH1,3.510857233485896e-05
FYN,1.3425193870688096e-05
HIVEP2,0.0007740337660960499
FMO1,0.0163676829651096
ELOA,1.8846570006049918e-06
LYPLA2,0.0003194089846125113
CLCN6,0.012324341732298287
MRC2,0.10103552284996842
NME1-NME2,0.706366689188697
SLC6A7,0.1987392333228013
TSPAN9,3.5221829738058914e-05
APBA3,0.00048779571626575744
MKS1,1.0463677889280979e-05
ABHD5,0.003543239804195231
ANOS1,0.002755824411778572
AKAP8L,5.9660940895571214e-05
MBTD1,4.699798579672086e-05
UTP18,9.378153237783091e-06
RNF216,3.453503456433328e-06
TTC19,9.78814998394278e-06
PTBP1,5.768118925745064e-05
DPF1,0.001698345274394517
SYT7,9.832371461907897e-05
LARS2,8.296417895437443e-06
PIK3C2A,9.864678760887545e-06
PLAUR,0.8658072068158089
ANLN,0.004535086665826502
WIZ,0.007158728026620064
RABGAP1,6.7521945935479605e-06
DCN,0.09100794836008796
QPCTL,0.002191975818215143
PPP5C,2.3125652486031943e-05
CEP68,2.9097789147794152e-05
MAP4K3,9.029188131271967e-05
ZBTB32,0.5024527311396499
TYROBP,0.18155239025501763
TMEM159,0.00010229309186101836
GABRA3,0.0005121794286096038
BRCA1,0.001380363565977068
ERCC1,6.356699473296968e-06
CD22,0.4495700305490359
SEMA3B,0.16602654806699374
MBTPS2,5.037371152159325e-06
PRICKLE3,0.0006143229351205772
LTF,0.35853060238325074
EXTL3,4.157242609304383e-05
NR1H4,0.006868990507611506
ELOVL5,2.186702211291737e-06
ALOX5,0.0027031685601103645
KDM5D,0.02796985349377794
CALCOCO1,2.9032392775279497e-05
UBR7,4.488789707841896e-05
MAP4K5,0.0001374710424300773
EHD3,5.7572090836095024e-05
MAN2B2,7.026572378660929e-05
SLC7A14,0.00033015293188923766
CLDN11,0.06644683324241389
SLC25A39,0.0027761118711902948
MVP,0.00317223492180466
NUB1,1.233326104464603e-05
PGM3,1.4707743242826363e-05
RWDD2A,2.0348921351415218e-07
CLK1,0.0015201605214099816
POLR3B,9.938721706229908e-07
ANGEL1,8.659836172964438e-05
RNF14,4.450103531246069e-08
DNASE1L1,6.0076205143379604e-05
DDX11,0.005130687994077099
HEBP1,0.0014777753563406113
GPRC5A,0.4000833445609965
MAMLD1,0.001321158042023142
CD6,0.0010120672894480924
TACC3,0.0011402624089039332
UFL1,4.5899978719078685e-07
POLA2,0.00036514061001904745
ZC3H3,0.0009971455253147267
CAPN1,0.00015158863119229778
ACP3,0.00439447122804217
MDH1,9.276462656302303e-10
SLC30A9,1.5824042709659508e-06
MTMR11,0.013702014158668245
COX15,4.3199517171115675e-07
CCDC88C,0.00042656327934582607
YAF2,4.033610038457314e-06
ZMYND11,1.0059807436830021e-05
WAS,0.0599723061454225
DPEP1,0.1590614442783172
BID,0.000682558214278507
MATR3,2.185402302000788e-06
NPC1L1,0.0001353703812818588
XYLT2,0.018662732683237218
RGPD5,0.00095726851912149
STMN4,0.006051077144114644
NUDCD3,1.332125204636292e-05
ISL1,3.8869187270654106e-05
CHDH,0.0002575265677453966
IL20RA,3.66280928972067e-05
CLCA1,0.06350727913960762
CLCA4,0.9304056407165575
GLT8D1,2.3350835851723696e-05
ATP2C1,9.457348898015511e-06
IGF1,0.6943343858194084
SLC38A5,0.05168897811035738
RALBP1,1.1137593236005186e-05
RUFY3,4.060770419343271e-05
CNTN1,9.998361651695893e-05
SLC11A1,0.9365257230009949
WWTR1,0.20050293785739495
AGPS,4.264782867713617e-05
ZNF806,0.03064341672834628
CXorf56,1.3874640014223459e-05
ATP1A2,0.061928080834428266
TTC27,6.935208184210694e-08
ZNF582,1.771422703766317e-06
VSIG2,0.21397141327929597
PHLDB1,0.0059278135091021065
MARCO,0.6204656304919547
CYP24A1,0.7806029124627862
PRDM11,2.596260522475279e-05
SYT13,8.850186181935557e-05
SNAI2,0.14978127249560297
CD74,0.30349774390494877
HGF,0.9620627433076666
ZRANB1,5.384553902711727e-05
NCDN,3.459436875718802e-05
ADGRA2,0.0015256290460235887
CCT8L1P,0.3016542701365412
ZFP64,0.00013958865703258454
MNAT1,1.597052365495786e-08
SAMD4A,0.0038314206194392146
RUNX3,0.7959637746679733
MRE11,5.873145354830543e-07
PLEKHB1,0.007696380999054286
SERPINB1,0.421727814345222
CYP3A43,0.7234832118909584
SLC7A9,0.020710059345766012
SPAST,7.32943957233006e-06
NRXN3,6.959822154620695e-05
OSBPL5,0.05175525978740721
AQR,1.0080148571677125e-05
CPS1,0.0007624730067628685
C8B,0.3252488963659286
FHL1,4.9192987330175075e-05
RTF2,2.2355829432644682e-07
GABRA1,0.0014940318000479483
NLRP2,0.10726671583627917
SLC45A4,0.0020140491473089697
RNF10,0.0002679726084076274
ZNF839,5.4712742922388194e-05
ZDHHC6,2.3624936344759934e-06
GRAMD1B,9.053870691201918e-05
RB1CC1,0.0009953052674545337
ERP44,8.2672089906615e-07
ALAS1,3.451750392308611e-06
BIRC3,0.9330823734196461
AKAP11,2.1840037444080223e-05
GLRX2,7.02338206897485e-05
SNAPC1,0.0023683130068078407
DERA,7.681388355162552e-09
STRAP,1.9065491568997633e-07
ABCC2,0.04171414194546576
DEF6,0.08121609487873643
PLEKHO1,0.01469752201079129
GCLM,3.385748215742096e-05
UBR2,2.0116927487571616e-06
EHD2,0.2860723873416837
DEPDC1,0.023504210856634362
CCDC28A,2.719183874507073e-07
RRAGD,2.5741739338724906e-05
HSF2,2.7406878894202663e-06
PHF20,2.687862470843359e-08
HSD17B6,0.0015905652587457318
NR1H3,0.009144590434439064
TYMP,0.40986333652449414
NCAPH2,3.1352680973191716e-05
TOMM34,7.517884875334163e-08
SEC63,1.9983998594542067e-05
KPNA6,1.63650515552574e-08
VIM,0.02350765467934318
RTEL1-TNFRSF6B,0.022958852599273282
FAS,0.005611294053345273
RNASET2,0.0006310038163583083
CD44,0.3887137444822002
KCNG1,0.06839861524126084
AGPAT4,8.945462073629091e-06
SLAMF7,0.002723952042177801
BTN3A1,0.005957859165194635
MIPEP,0.0002652941178110085
PRKCH,6.105336204908447e-06
INSRR,0.00932142052610365
IFNGR1,0.000870784292670584
B4GALT7,0.00029759839955828863
SH2D2A,0.05917837245979491
VRK2,6.781819695088941e-07
TNFRSF1B,0.15142648207538936
VEZT,1.4554595301721554e-06
POU2F2,0.13170966157324834
BRD9,0.0001554088520393256
SNX1,5.977472498642112e-06
TBPL1,1.72577225605387e-07
ARNTL2,0.02419594641434713
BCLAF1,1.667377364305891e-06
SLC39A9,8.310371979442142e-07
ANK1,0.0002640991587042961
IBSP,0.28006051792413655
TFB1M,7.554767439483048e-06
RABEP1,1.2561807455347572e-05
HMGB3,0.00016603515552767646
NUP160,4.7464764454045745e-05
BAK1,1.7164154736993825e-05
MUSK,0.7535316506520946
IKZF2,0.0001255714047532049
GRN,2.6327257134619065e-05
FAM13B,9.928987470490053e-06
ARHGAP31,0.045144936333331054
CENPQ,3.77167117240809e-07
SARS1,5.374802220078908e-07
RANBP3,1.1685691275896166e-05
ARID4A,2.009109372429456e-06
EIPR1,1.693095604770926e-07
PNPLA6,0.0005213686308052402
IFT88,1.1863623482048162e-06
ALG1,2.945531758028239e-05
ZCCHC8,6.873405989415212e-06
ABCF2,2.079510584398662e-06
CHPF2,3.9902732496237844e-05
LRRC7,0.4488589980634028
FUT8,0.00012463346550145615
UBA6,3.334193278993902e-06
GAB2,0.0001292410855762598
ATP6V0A1,1.1155752110700045e-05
PIAS1,7.680617191801723e-07
SLC4A7,0.0002580657083863574
APBA2,0.02060423442813221
MAP2K3,0.004889791446438088
EFCAB1,0.616802555822314
TMSB10,0.013641081457603156
ASTE1,5.0391329589219246e-08
RNF19A,0.00044801998545861756
PEX3,1.1038861284970814e-08
GABARAPL2,3.992658923481712e-07
MYOC,0.9386378202817673
SH3YL1,1.9279533029427498e-05
FAM136A,9.441457016097138e-08
VCL,0.010821737065117382
DEPDC1B,0.005013390356098983
DAPK2,0.0018853524394708862
NSMAF,0.00028124611674680637
ADSS2,1.3768446959201322e-05
STAP1,0.017136150587552596
TIMP2,0.00018347138930402195
RFC1,1.1261614526112076e-05
TBC1D23,4.0897404336273825e-06
CUL3,3.718013897915873e-06
MYOM2,0.20334143486964398
OTC,0.005803226136125772
CYP46A1,0.00011021994909739629
ZZZ3,1.3539482601393063e-05
SLC18A1,0.2414751002706744
USP2,9.562386655895004e-06
CASR,0.00010772937913339704
TUBG2,0.0002738846413537373
RPL26L1,9.382018314582102e-06
FLT4,0.42788740564265515
NSUN2,3.797819240550245e-05
FBXO42,5.6227618574517375e-05
MFAP3,1.3481005439069117e-05
MRI1,0.0032165630641513474
METTL1,0.6627987249239737
HOXC8,0.7435968481942505
AGA,1.4801879114539474e-05
PI4K2B,3.6247546863933823e-05
BOD1L1,0.0003891154987916827
MAT2B,1.528463069265774e-06
TLL1,0.1427782804851718
EDC4,0.0009074366328370722
TRIO,0.00041609921436181206
VCAN,0.2006521956139628
CLEC16A,0.0005076494233998943
MSR1,0.35441710449066255
CDH1,0.0013300050211406656
MTREX,2.5991482847481194e-07
DNAH5,0.0021284075782065444
ZFYVE16,0.00010462415661221927
RIPOR1,0.0003506957558034887
C6,0.0027525625834656274
RAI14,0.012634750276353445
SOX30,0.002842857557659841
PNKP,0.00041548913810683446
BEST2,0.8086994246019108
PHLPP2,2.9214856566403255e-06
SPDL1,0.00013061234569297026
STAU2,1.765555608359048e-06
SLC66A1,1.9219936388124954e-05
CTNS,0.0007814310592309889
RTN4R,0.1156961532335366
PHF23,8.994910297524436e-06
CDH10,0.0004008952751041323
INPP4A,2.3804077923800992e-05
RAB27B,0.013289938200482607
PSMA4,2.451108891326213e-08
LSG1,0.0005705403736856519
PARP3,0.001107051010237496
TNC,0.7209249557547888
THAP3,4.291091451561109e-06
RIPOR3,0.21940317496155662
TDP1,1.56180558949294e-05
AIFM2,8.318563425650814e-05
C2orf83,0.6855574987679408
SPATA7,4.847085084562482e-06
MED17,4.998476940546418e-05
RETSAT,0.0002644600506622875
CAPG,0.11438630759961244
AP2S1,1.3522862226652766e-05
USH2A,0.014108782802903204
ZPBP,0.0009143671196016463
TG,0.2676323367052882
ADAM28,0.040188789268817006
BARX2,0.18449359464327966
DCUN1D1,5.36978270061455e-07
JADE2,2.8430621483165143e-05
ZIC2,0.391396094009954
LCP2,0.5268649260892471
TRIT1,8.875174786163607e-07
ADRB1,0.023338132443672437
GUCA2B,0.5031269923146355
CUL7,0.0002367254909195572
CTNNA1,0.00024158397999445702
PHKA2,0.0009985452578076344
CNTLN,7.0887867068480355e-06
EPHA3,0.004490816627386952
HSPA5,0.00027812694725332424
DSG2,0.0011049253066155844
GEMIN8,1.5516206991170997e-06
OFD1,0.00015383196458231807
GPM6B,0.0009518618737584481
MAGEC2,0.37234808279079423
PREX2,0.018966290880269233
WDR37,4.6973912659706475e-05
YTHDC2,2.5957299845939275e-05
CTPS2,5.2709111307412404e-05
ATP6V1H,2.3009561423778097e-06
POLR2B,2.2834547736771156e-06
FAM214A,4.412828076733128e-05
ARAP2,0.0319754323606357
TPR,1.165220616727377e-05
CP,0.4740981285440241
KATNIP,5.665124821571922e-05
DTNBP1,2.7679425911347383e-05
XK,0.001072927678532656
ANO2,0.12040638454840717
C12orf4,1.2675249031343462e-06
SCML1,0.029850379039392458
WWC3,3.0746661362923865e-05
ARHGAP6,0.060531588197992446
FAM184B,0.022864326727075338
MAP4,0.00020994259956065507
GOPC,1.4222427287425516e-05
ROS1,0.24163207746420864
USP28,0.0001444077047254657
HDAC9,0.00023001410165453845
TSPAN17,7.814702893473056e-05
NOP16,0.770624945378786
CC2D2A,6.975985116040525e-06
RRM2B,1.8524937476800983e-05
ZNF800,2.3065297227511375e-05
TNFRSF17,0.8572687963314397
SNX29,0.00045730135659107846
LMO3,0.062194765438567876
MRPS10,1.9951287296139083e-09
GUCA1A,0.2335893728528305
RSF1,4.5645215656748124e-07
VPS13D,0.0004061155263795515
CELF2,0.00012593992027574717
FAM120A,5.3079251000791425e-05
R3HDM1,2.218848142767162e-05
COL9A2,0.00027522378936942806
KITLG,0.014892362456326906
ERCC8,3.53652219347555e-07
ADAMTS6,0.01868087955405654
H6PD,0.03513794381170353
VAMP3,4.5659414910870365e-06
PER3,6.752934235488902e-05
UTS2,0.28038385808102767
TNFRSF9,0.019933080334934346
EPN3,0.07356233614181963
LTBP1,0.02906955066721709
RCN1,2.3246827698295682e-05
ELN,0.24329020493536352
RFC2,6.336982190417959e-06
ARID1B,0.00019679220376278458
CLPTM1L,3.8131597539765584e-05
NEDD4L,0.00031434621253226383
FOXP3,0.017610772222893565
PPP1R3F,5.5669055952546516e-05
HEXB,6.3585652024661995e-06
PTCD2,3.7760826548139573e-07
NEXMIF,4.303424370165937e-05
JKAMP,3.776335929716133e-09
DKK3,0.011593758444680984
ARHGEF5,0.00045849950050727063
NFE2L3,0.10066791383824283
MCUR1,9.14714010924741e-06
LIMA1,0.009276303612253803
LETMD1,4.367992987057531e-06
SLC4A8,0.0001797371179858124
LAMC3,0.3252843098166054
PTGER3,0.0006199065679039521
TNIP3,0.759592436619286
MAPK9,1.8622792218948478e-05
COL23A1,0.26748217450359457
BCAR1,0.008096319166832136
FAM160A2,0.0002363963422047276
HERPUD1,0.000200589547817425
HOMER3,0.03408108204038601
RAD51,0.0021435538616445616
POLQ,0.4038907421126061
PIK3CB,3.038937187613396e-05
CYBA,0.23475311821089964
THOC3,3.8675802553099984e-05
HEBP2,0.025769169882820627
MPHOSPH9,4.954342483765621e-06
PLEKHA5,6.678713739649663e-06
PRSS8,0.03047949006369423
SIKE1,5.765636052382944e-08
RRP12,0.0010327095400821085
FNIP2,0.007148113964913005
MSMO1,1.8671455464733557e-05
TTC17,1.1206066717295174e-05
ALX4,0.8370924820887704
FSTL4,0.005866631863387305
FOXN3,2.411447231818695e-05
METTL24,8.85234321921903e-05
AKR7A2,0.000287997727959673
MRTO4,0.0001982376309556437
NNAT,0.05331678534609721
USE1,4.720529728865643e-06
MCF2L2,3.535789588750913e-05
NRIP2,0.40237913121218694
LAMA3,0.16526762650344604
AP5M1,5.180958307297351e-08
ANAPC4,8.266478731974073e-06
KCNQ1,0.21585631003218983
TRAPPC3,9.484369551042979e-07
THRAP3,3.402828133580166e-08
PHPT1,0.002137208286020568
ENTPD2,0.0016858644511134424
LY75,6.214257111952926e-05
ARID4B,1.3778721782035806e-05
OPN3,0.16854667877619692
SDCCAG8,3.6741341436953605e-07
PTPRN,7.627158559999363e-05
KIF1B,3.7836274040646595e-05
FOXC1,0.47023909356414284
TBC1D22A,6.170733579835188e-05
SYNE2,0.0003401241512755608
PLEKHH1,0.007191928989150387
ATP9A,4.352591254822847e-05
SPO11,0.6040090515706431
CBLN4,0.0002817872948906979
CHRDL2,0.030183306001057807
FAM168A,2.459715719633857e-05
RELT,0.004444285224335652
GALC,1.3232475220463051e-05
NOP58,2.2065617656951954e-06
SZRD1,1.2020090038928409e-05
KCNH2,7.680048065761955e-05
CUL1,1.4828875085664736e-06
FAM114A2,1.7561538487964826e-07
CYFIP2,2.6207834701666867e-06
TAB2,1.540205100823284e-05
GINM1,3.4046762286223455e-05
EIF2AK2,8.419529461353692e-06
USP36,0.0003182648769523452
KMT2C,2.836185356222267e-05
MCOLN3,1.2387508784477697e-05
CCDC85A,0.0010342913475034023
PUM2,1.7588153285480027e-05
MRPL43,1.4174630526138998e-06
ITIH4,0.6805473666347747
ITIH1,0.6796354786458056
HPF1,4.6024116610405285e-07
ZFR,1.0273389869502264e-06
ZNF280C,6.414006784353929e-06
NPFFR2,0.1283951582391739
PHF21B,0.0004284028737221402
TRAF1,0.11075746991363551
RC3H2,9.342661966478147e-06
KIFC1,0.8833197849784645
IL17RB,0.027145746681040517
TRAF3IP2,6.99122654708499e-05
GYG2,1.7648344857433315e-05
DCBLD2,0.00013327013051072812
SERPINB3,0.8444170511984797
SOAT1,3.038544909967264e-06
PKP2,3.221649328026747e-06
MSH4,0.11530618075605675
F7,0.00035945492376916033
GDI2,3.7766034544420036e-09
PRDM1,0.4949255210419736
ATG5,8.642295483517486e-07
TMCC3,1.6922671114627895e-05
PITHD1,1.6430442458547374e-05
MTA3,1.3286577781725974e-06
USP13,0.00010808368804965791
ATP11B,0.000268941510299878
LAMC2,0.14470279631823355
CDK14,1.155506119748832e-05
SEC61A1,3.1435596642220764e-05
PPP1R12A,8.727055984473146e-08
RASGRF1,0.00010183264649255004
CAMK2B,8.455162445243163e-05
CROCC,0.0009172165266544463
POLR3E,2.3190937951665782e-05
ATP2B4,0.006940109045795543
ZC3H11A,3.4932898175959134e-06
RIOK2,3.569754552670269e-05
YIPF1,3.1217364880896895e-07
NDC1,1.1740570336934216e-05
DGKG,9.802841820116657e-06
FLYWCH1,0.001096103491332463
UNKL,0.010335413252720863
TBXAS1,0.0037104748298973887
PARP12,0.002215047023841909
ALDH18A1,1.807629932333702e-05
TARBP1,0.0002448060660255465
GATB,1.1308716685870137e-06
MXD1,0.012840382561826498
CDK17,0.00014093585556938684
DNAJC25,0.0025330377545988328
SLC2A3,0.23513157600514206
PSD,0.00013310370580360008
CTDP1,0.0011163643045916745
YBX3,0.36117784176006884
STYK1,0.0061512813327400185
WNK1,2.581109472043303e-05
RPS17P5,0.9400156664847261
CCAR1,1.0734635613095156e-05
OGFR,0.0012192866412927175
GNA15,0.0008393144595223429
CREB3L3,0.12088890121029854
PIGV,7.789420658500396e-06
PTPRU,0.00026676510541177027
SNRNP40,2.326055122824937e-07
RIMBP2,4.145881395295213e-05
COL11A1,0.051368479511463776
QSER1,9.2596009126716e-05
MPC1,7.285269141308447e-07
ACAA1,0.0021727326555579683
BCAT1,0.10216231366687668
HDAC7,0.0631324100881583
LZTS1,0.0178134646936273
PRDM6,0.07642943498368665
WNT8A,0.3941446914991402
SPAG4,0.1426113353697534
NCKAP1,6.931355751223247e-06
MRPS35,2.6650215340968536e-08
GUCY1B1,7.802673386036681e-07
SFSWAP,0.00012385188187750767
TNK2,0.00019155986156508845
MON2,1.5407351958718768e-05
CDH3,0.4846444391695883
ARSF,0.8378002490259431
GPBP1,2.7094079140572327e-06
DGAT2,0.0005651698462354293
ZNF112,2.1499185322217484e-06
CS,3.751389709783253e-06
LTK,0.026039346298984318
MRPS24,2.6664309456339593e-05
ELMO2,2.1215830287139543e-06
WAPL,2.8283076108695386e-05
VMP1,0.3650228171672306
APPBP2,4.286230380000376e-06
POLD1,0.018048086160011894
SEZ6,0.0008033984628373837
EIF4B,3.5309415150664153e-06
SLC6A16,0.16024375623135695
BICRA,7.010631690681059e-05
SPHK2,4.9331394052544995e-05
RPL18,4.962643125546208e-06
CA11,1.0571339832908314e-05
ISOC2,0.0002902031256475127
U2AF2,0.00039189032021750577
EPN1,0.01674701246894434
MED29,2.813995148173987e-06
GSC2,0.8071129777235302
ZNF275,3.1817882657731556e-05
MTMR1,3.7581798444380624e-05
GPC1,0.015271905056853453
ADCK1,2.98220610834129e-05
HAGH,9.985236394744563e-06
RNF4,7.71331349276934e-06
CASP8,0.0024227974923431866
LIMCH1,2.5524673137630053e-05
INTS13,9.862573868186329e-06
TM7SF3,0.00021756700752579536
DLX3,0.04433455634644662
SPA17,7.92672110872017e-07
TSPAN32,0.4234200931395471
CCN5,0.3051552422437808
DMRT3,0.640638933371872
