,p_value
TTC22,0.8833027031366267
PHTF2,0.45941181776901474
CCL26,0.0007390758746105282
FARP2,0.23604567490773581
USH1C,0.13294951024349078
GGCT,0.553348345291649
DBF4,0.3181261612045036
TBXA2R,0.9934408150523348
IFRD1,0.4053370251799685
LGALS14,0.18478905474956542
COX10,0.679984742950486
GTF2IRD1,0.6391755172119304
PAF1,0.013443055394629526
VPS41,0.2633870196075541
ARHGAP44,0.030391665970052682
ELAC2,0.2944745269242914
SCIN,0.010075465269466203
ARSD,0.3678180926270501
PNPLA4,0.6395471555899435
MYH13,0.10683605947189395
ADIPOR2,0.11172857720142337
CDKL3,0.301488769990311
UPP2,0.056839415613463416
PRSS21,0.21367865861957225
MARK4,0.20648649852518175
PROM1,0.09329630489400267
CCDC124,0.026472296822539078
CEACAM21,0.015035513515997712
PAFAH1B1,0.04308534953756287
NOS2,0.0448066445987599
DNAH9,0.027655663963787047
KIAA0100,0.4562270890080994
SLC13A2,0.125069576341114
GAS7,0.765763150313983
TRAPPC6A,0.602773399916769
MATK,0.7495124941923972
CEACAM7,0.4720168049229704
CD79B,0.3329470916275572
SCN4A,0.7925449835852804
ST7L,0.6638490973673467
TKTL1,0.34634094443892416
PAX6,0.2729218127718777
RPUSD1,0.6582519942366578
RHBDF1,0.8225904064593389
LUC7L,0.41624407014932074
CACNA2D2,0.8674268964407797
BAIAP3,0.12054550660550123
TSR3,0.11049910513061403
PIGQ,0.25605253670911
CRAMP1,0.2814466058344616
TEAD3,0.40127218085371796
SELE,0.09013806852931049
DNAJC11,0.0779007633722395
FMO3,0.07573937501135598
MYLIP,0.024917881064591228
NOX1,0.3661450617031373
E2F2,0.01393690482535563
PSMB1,0.03674502791851364
SYN1,0.31430009713037776
JARID2,0.4079743757992139
CDKL5,0.014579740897532778
CAMK1G,0.01776451225497906
CDK11A,0.26319941191061275
NADK,0.04374998226267044
TFAP2B,0.12977637022120248
TFAP2D,0.14722271571697826
DLEC1,0.21779693988874146
CYTH3,0.3793716805873206
ADAM22,0.08499659015264752
SYPL1,0.2769415589753486
CYB561,0.13635610922413677
SPAG9,0.21061742254052512
CELSR3,0.08495043996427785
AASS,0.001476785421151654
PLEKHG6,0.021928734128462333
SS18L2,0.022013855402390974
MPND,0.36094527396046705
MGST1,0.2103218880666592
CRY1,0.09559139780549564
PGLYRP1,0.019594030457448904
NFIX,0.9203795444443983
ST3GAL1,0.08944143915414118
MMP25,0.012800751359639905
IL32,0.06513803611682505
PKD1,0.4125379004294305
MAPK8IP2,0.5465639174303105
MED24,0.7811294573605382
RHOBTB2,0.39189464926951967
HEATR5B,0.29338270270430244
SEC62,0.18647544599662647
RPS20,0.2658683254422794
CSDE1,0.02766368886647359
UBE3C,0.5203442924605653
REV3L,0.1890195551642937
TENM1,0.26547034375640044
PAX7,0.052759837653143266
MASP2,0.013202205946735638
IYD,0.010920073792484546
FAM76A,0.6618294943729341
TRAF3IP3,0.13560443257970395
POMT2,0.79985568330011
VTA1,0.12326164929487421
MLXIPL,0.22650545801181213
BAZ1B,0.020937786069489275
RANBP9,0.021422459547358774
ETV7,0.03228846425269156
SPRTN,0.9697348717657046
METTL13,0.029718027568043325
DYRK4,0.07246910107182443
ZNF207,0.39365754910251904
UQCRC1,0.01195284827179477
STARD3NL,0.661478424669486
CD9,0.3204634586845883
HHATL,0.1200957901252908
NCAPD2,0.14977373050854265
IFFO1,0.41377529188144757
GIPR,0.5137730605195139
PHF7,0.470908219710347
SEMA3G,0.14943483752299805
NISCH,0.48273778257014266
STAB1,0.36035842046567856
FUZ,0.12966426166834205
SLC6A13,0.09370818693890343
IDS,0.005726562388005157
PRSS3,0.014796398953847522
ZNF200,0.1698923682215216
CD4,0.25055569991969223
LRRC23,0.32577142909249224
BTK,0.6896418004567775
HFE,0.12544419390239253
SCMH1,0.9420742664275225
FYN,0.711663779763323
HIVEP2,0.009994415652104821
FMO1,0.5156936957988396
ELOA,0.01272922502716611
LYPLA2,0.027888464400343305
CLCN6,0.43084225835811396
MRC2,0.12361172323812668
NME1-NME2,0.6036882157059409
SLC6A7,0.041669787036170934
TSPAN9,0.2435059568188316
BTBD7,0.8522021386750512
APBA3,0.7232289110983434
MKS1,0.18006859598473307
ABHD5,0.8253083108055139
ANOS1,0.5548507346377604
AKAP8L,0.4725206201407858
MBTD1,0.5588111505361713
UTP18,0.06187155408370629
RNF216,0.3615745281470514
TTC19,0.9712632532521145
PTBP1,0.0428723675086336
DPF1,0.08746664172879669
SYT7,0.2830419260227571
LARS2,0.06654954902753937
PIK3C2A,0.5854518692022895
PLAUR,0.13812697193383944
ANLN,0.04097277667587262
WIZ,0.6449666883194478
GPR21,0.0998564099302067
DCN,0.006488679028621623
QPCTL,0.022289168397754713
PPP5C,0.13235336257639035
CEP68,0.15749366199434756
MAP4K3,0.6063805703994646
ZBTB32,0.021743548974853623
TYROBP,0.04011931495398854
TMEM159,0.021880748008448036
GABRA3,0.020815895992532203
BRCA1,0.8382037857272067
ERCC1,0.7125331858436996
CD22,8.653410531209637e-05
SEMA3B,0.20176062978125836
MBTPS2,0.9058924998833957
PRICKLE3,0.6541625389492914
LTF,0.01094278876697192
EXTL3,0.23194118309754502
NR1H4,0.04741627681462177
ELOVL5,0.43234765979665823
ALOX5,0.6889560253865019
KDM5D,0.8568935955565536
CALCOCO1,0.19654176312156982
UBR7,0.1979444791823049
MAP4K5,0.9760318352750654
EHD3,0.18974571798683704
PSMC4,0.012450467743371744
MAN2B2,0.42206008777478465
SLC7A14,0.04865473940977067
CLDN11,0.03138802990849917
SLC25A39,0.03552368312448817
MVP,0.039011417014384604
NUB1,0.2596401742870182
PGM3,0.7061863756985994
RWDD2A,0.3925219193841506
CLK1,0.3978955035717462
POLR3B,0.11406692617932847
ANGEL1,0.5508137774313128
RNF14,0.10476147984172267
DNASE1L1,0.5066985577395244
DDX11,0.24258838291375004
HEBP1,0.8188665454762956
GPRC5A,0.09140533148313587
MAMLD1,0.028363925930413935
CD6,0.030999209561247812
TACC3,0.015702483240465658
UFL1,0.3414956856933815
POLA2,0.9030734189084607
ZC3H3,0.058383032521561365
CAPN1,0.7915058705990089
ACPP,0.23841491091860936
MDH1,0.02760292422196936
SLC30A9,0.3050512816809694
MTMR11,0.8386249206664633
COX15,0.783421143374585
CCDC88C,0.9404343770232615
YAF2,0.996635583841369
ZMYND11,0.08623671409908668
WAS,0.9057211233441236
DPEP1,0.059899197004523064
BID,0.027547181857677405
MATR3,0.015065287227026544
NPC1L1,0.16793484789737456
XYLT2,0.3103461175154219
RGPD5,0.5103255273075149
STMN4,0.11940769990203354
NUDCD3,0.5441455744521039
ISL1,0.6935695017341384
CHDH,0.09021858926991337
IL20RA,0.052228170366835296
CLCA1,0.01292058741029038
CLCA4,0.012936974039503056
GLT8D1,0.13089394774096624
ATP2C1,0.3888896226473071
IGF1,0.051013737027522314
SLC38A5,0.17196188193293221
RALBP1,0.0038105194605247716
RUFY3,0.0052428237890005044
CNTN1,0.0282304682972905
SLC11A1,0.9277915844967517
WWTR1,0.2927073009725544
AGPS,0.21939672205841948
CXorf56,0.2518589025201079
ATP1A2,0.007853676949593312
TTC27,0.9508393818836354
ZNF582,0.7099494924066985
VSIG2,0.9543276020559197
PHLDB1,0.09138217611353318
MARCO,0.19924624990030154
CYP24A1,0.039519998814602955
PRDM11,0.927940796733874
SYT13,0.1014676611961421
SNAI2,0.04107578156877802
CD74,0.21337736371861551
HGF,0.02125558491125732
ZRANB1,0.039891072030147204
NCDN,0.18547756584597413
ADGRA2,0.1655173618686561
ZFP64,0.1956420682480509
MNAT1,0.8985044444180836
SAMD4A,0.0007084256679278423
RUNX3,0.170693319832283
MRE11,0.20868662783849673
PLEKHB1,0.3687939269739996
SERPINB1,0.06944846550051598
CYP3A43,0.10717646971163886
SLC7A9,0.00944281574280862
SPAST,0.1556941295581467
NRXN3,0.11661328880735126
OSBPL5,0.16166415706123644
AQR,0.7239337612724017
CPS1,0.022495916952867435
C8B,0.013335477425198177
FHL1,0.7479686902640046
RTFDC1,0.048447387309741026
GABRA1,0.06196310438601319
NLRP2,0.40376670315315966
SLC45A4,0.02350265294600072
RNF10,0.03710818347569624
ZNF839,0.11603003272981081
ZDHHC6,0.9990271254294986
GRAMD1B,0.05132659712167121
RNH1,0.07670473993136126
NDUFS1,0.3498867860404482
RB1CC1,0.13133650824569854
ERP44,0.5763133942475953
ALAS1,0.007410266268729238
BIRC3,0.2598523865693307
AKAP11,0.9619312039484176
GLRX2,0.14949575987183064
SNAPC1,0.11443538606585381
DERA,0.17767068595550767
STRAP,0.021767826534474094
ABCC2,0.4621262342946997
DEF6,0.9146716991567049
PLEKHO1,0.085211970031466
GCLM,0.6104403659219728
UBR2,0.4672464855129701
EHD2,0.40501034616483866
DEPDC1,0.012339614654282086
CCDC28A,0.031382361816794296
RRAGD,0.6683587558847652
HSF2,0.698231069463111
PHF20,0.1925800300706667
HSD17B6,0.2395319934303776
NR1H3,0.5021808086751838
TYMP,0.038380773412907285
NCAPH2,0.12224033251753215
TOMM34,0.26446585092483743
SEC63,0.9869882924192013
KPNA6,0.6961869067988166
VIM,0.01732435665574593
RTEL1,0.1686158659519216
FAS,0.10924597633597548
RNASET2,0.12871969437285702
CD44,0.00623968590655529
KCNG1,0.07297814520471838
AGPAT4,0.8279036153446652
SLAMF7,0.012249151331996066
BTN3A1,0.16803697475866003
MIPEP,0.9213243003896504
PRKCH,0.04660355304051158
INSRR,0.12353618774235071
IFNGR1,0.31526747024607293
B4GALT7,0.5398482641329699
SH2D2A,0.07585764198457744
VRK2,0.3751292639164592
TNFRSF1B,0.016302900680805348
VEZT,0.12527199797970986
POU2F2,0.726726799041356
BRD9,0.29850666984111535
SNX1,0.336603205175248
TBPL1,0.42241644103094567
ARNTL2,0.09341741890143186
BCLAF1,0.876943296593513
SLC39A9,0.06990329456403856
ANK1,0.5162965052759922
IBSP,0.10323718151110382
TFB1M,0.5814554957924909
RABEP1,0.9144854504167562
HMGB3,0.056415877612469634
NUP160,0.7104587224501747
BAK1,0.009347855720449301
MUSK,0.006894682872914663
IKZF2,0.04061089550791992
GRN,0.025900805927543333
FAM13B,0.02981352268415733
ARHGAP31,0.10017508711434812
CENPQ,0.33524415437627253
SARS,0.1523263491109752
RANBP3,0.12623722466807952
ARID4A,0.47801246877090664
TSSC1,0.8052100079238762
PNPLA6,0.03632349452923407
IFT88,0.719310434597462
ALG1,0.0101120906075442
ZCCHC8,0.13903688446156223
ABCF2,0.014234362971118823
CHPF2,0.16731831113163081
LRRC7,0.030156465547705836
FUT8,0.8361559702271626
UBA6,0.6981872280107477
GAB2,0.0004921025383935875
ATP6V0A1,0.007902320865599914
PIAS1,0.34258708358851775
SLC4A7,0.00547821646970462
APBA2,0.31470399148148404
MAP2K3,0.061830044327055786
EFCAB1,0.006087353149997286
TMSB10,0.7238126160904619
ASTE1,0.039673133219839556
RNF19A,0.7889819214099871
PEX3,0.7094694316818471
GABARAPL2,0.23645062671877798
MYOC,0.22487362545103268
SH3YL1,0.41556818981726773
FAM136A,0.396463239505218
VCL,0.6187759765032735
DEPDC1B,0.032036800346245474
DAPK2,0.6582549509245212
NSMAF,0.5616426688746948
ADSS,0.09643726466571001
STAP1,0.5834657875337586
TIMP2,0.05604966040785585
RFC1,0.025128135552763806
TBC1D23,0.17811824541653645
CUL3,0.07139795102253274
MYOM2,0.2734318928860321
OTC,0.5549491269625071
CYP46A1,0.045825268451926464
ZZZ3,0.2537350821385359
SLC18A1,0.034734180841526456
USP2,0.491380773577226
CASR,0.08683330425598738
TUBG2,0.32522279966344914
RPL26L1,0.003113573317196886
FLT4,0.29992891807376015
NSUN2,0.4978484083672893
FBXO42,0.1756252084848379
MFAP3,0.2928375109183836
MRI1,0.9648258444700625
METTL1,0.8404665032314773
HOXC8,0.4352436676500506
AGA,0.6769240615806348
PI4K2B,0.0890422637074443
BOD1L1,0.9392871129752339
MAT2B,0.010794805515719205
TLL1,0.04734297492885685
EDC4,0.078992654406375
TRIO,0.0029786744238712195
VCAN,0.41327064345602094
CLEC16A,0.09069519811176828
MSR1,0.03976686008817299
CDH1,0.6993932973128583
SKIV2L2,0.0414181649502967
DNAH5,0.06973872388695185
ZFYVE16,0.9846246292209265
RIPOR1,0.2889958164597692
C6,0.02408350489276848
RAI14,0.02769332667851039
SOX30,0.8803522157867212
PNKP,0.14010533578624487
BEST2,0.1168286596282824
PHLPP2,0.8110389130572598
SPDL1,0.3916861598859107
STAU2,0.36561051312132653
PQLC2,0.8829802158310679
CTNS,0.3733468241436245
RTN4R,0.4995609351382849
PHF23,0.0016118941107731767
CDH10,0.26543427943765263
INPP4A,0.2646100759684016
RAB27B,0.3371575472981174
PSMA4,0.07427749649690732
MYO16,0.013028851172169884
LSG1,0.9224041601072485
PARP3,0.06036738101863273
TNC,0.040291082648138715
THAP3,0.20246007251004222
RIPOR3,0.057710998573923165
TDP1,0.024750719426487027
AIFM2,0.5740163413317937
C2orf83,0.08209163799586033
SPATA7,0.05791138512546426
MED17,0.1588781131326923
RETSAT,0.5090451194844896
CAPG,0.056381073815037326
AP2S1,0.016103338315778305
USH2A,0.11029213213735015
ZPBP,0.09412324611185763
TG,0.49881567519502223
ADAM28,0.058377377060921214
BARX2,0.16433938038144372
DCUN1D1,0.43921793664734443
JADE2,0.03662603852006105
ZIC2,0.1152695676029294
LCP2,0.05559573359795781
TRIT1,0.7432492012994056
ADRB1,0.6719846809533343
GUCA2B,0.0029762663718532058
CUL7,0.41589036947688507
CTNNA1,0.0062721888988964206
PHKA2,0.7411913826841448
CNTLN,0.5056085404392634
EPHA3,0.029696197574615956
HSPA5,0.08322529470262267
DSG2,0.02476727393963145
GEMIN8,0.735253083703836
OFD1,0.2344057524574324
GPM6B,0.03427047087063763
MAGEC2,0.045357083422212736
PREX2,0.05815479849655925
WDR37,0.9052010975679394
YTHDC2,0.37854784297298283
CTPS2,0.06651205681591285
ATP6V1H,0.13221906619657747
POLR2B,0.2656073393124959
FAM214A,0.5788124590776216
ARAP2,0.17794928702124327
TPR,0.57614488294563
CP,0.007983286354741975
KIAA0556,0.3498524050491363
DTNBP1,0.15475116440131256
XK,0.09506247618844008
ANO2,0.10859655718634414
C12orf4,0.9927762199536527
SCML1,0.002085973170304932
WWC3,0.014441747981084304
ARHGAP6,0.8628028424526301
FAM184B,0.0737705770047848
MAP4,0.18327860067971172
GOPC,0.6449332113407089
ROS1,0.04318831479972726
USP28,0.8272356118450115
HDAC9,0.041085796364189256
TSPAN17,0.38121706995501037
NOP16,0.6919765620759981
CC2D2A,0.027827850235675654
RRM2B,0.05228907063098003
ZNF800,0.7756227271066767
TNFRSF17,0.28337295841752136
SNX29,0.17979928855051974
LMO3,0.0031539395589187842
MRPS10,0.008976232843746426
GUCA1A,0.8188519698588168
RSF1,0.3718418762887976
VPS13D,0.46568599163478497
CELF2,0.4448849585174266
FAM120A,0.07039182016493453
R3HDM1,0.33231122087200027
COL9A2,0.10323512613430336
KITLG,0.021266023683234343
ERCC8,0.3591249285321815
ADAMTS6,0.285138498599428
H6PD,0.3046182035261951
VAMP3,0.04744847704078828
PER3,0.9876421046903825
UTS2,0.5166886909100226
TNFRSF9,0.2824519434604769
EPN3,0.14159460231901771
LTBP1,0.016386325339166338
RCN1,0.301710997998417
ELN,0.2990116780354684
RFC2,0.48065849050064624
ARID1B,0.6954916487649251
CLPTM1L,0.36794131119123286
NEDD4L,0.23078070133994305
FOXP3,0.5202524276179101
PPP1R3F,0.6501622083896432
HEXB,0.06414293529309174
PTCD2,0.3641549301134509
KIAA2022,0.8856090104557321
JKAMP,0.14421964346431562
DKK3,0.8433024088606842
ARHGEF5,0.338057220341917
NFE2L3,0.24211435079614244
MCUR1,0.4716790621490434
LIMA1,0.9601861494601827
LETMD1,0.2353879409332055
SLC4A8,0.005960224618312381
LAMC3,0.12719374429466476
PTGER3,0.021934280880830093
TNIP3,0.18358325452538926
MAPK9,0.5403480598295498
COL23A1,0.8396646460912742
BCAR1,0.14356762224510936
FAM160A2,0.12813147194651545
HERPUD1,0.7303005995836376
HOMER3,0.5344177391477297
RAD51,0.3498778856695586
POLQ,0.027777364612305896
PIK3CB,0.057912257076959496
CYBA,0.04898952946407468
THOC3,0.09649211274226473
HEBP2,0.8394126821385215
MPHOSPH9,0.327358304490292
PLEKHA5,0.008441859597240597
PRSS8,0.22426225450735057
SIKE1,0.7733642883486651
RRP12,0.7852505750672751
FNIP2,0.2373102726314849
MSMO1,0.04185736339741082
TTC17,0.34549033344382407
ALX4,0.020552303488393417
FSTL4,0.20779583121859352
FOXN3,0.39780275277713206
METTL24,0.025299465291826095
AKR7A2,0.05575178899272542
MRTO4,0.3559582450012092
NNAT,0.009223431405210144
USE1,0.5304178499223945
MCF2L2,0.010650507958081019
NRIP2,0.008725916475525668
LAMA3,0.05029615733120065
AP5M1,0.4291800162619501
ANAPC4,0.34236947769096804
KCNQ1,0.5681530763350114
TRAPPC3,0.06625503733567663
THRAP3,0.11549954237193992
PHPT1,0.05312365105024669
ENTPD2,0.506257645673911
LY75,0.48843108025868465
ARID4B,0.060796569911968266
OPN3,0.2756008625420072
SDCCAG8,0.9137426647767872
PTPRN,0.15018685591230535
HHAT,0.04495622691582536
KIF1B,0.4507253655352528
FOXC1,0.3815817462721657
TBC1D22A,0.13587032039172328
SYNE2,0.19986391453243849
PLEKHH1,0.05106195236327995
ATP9A,0.6105009397830391
SPO11,0.046367713215061036
CBLN4,0.14228065883642785
CHRDL2,0.17498955981384118
FAM168A,0.1878299045320641
RELT,0.04118406623751776
GALC,0.26192543235422705
NOP58,0.02731081268933336
SZRD1,0.02697070937812109
KCNH2,0.5362988399504389
CUL1,0.07765393144240752
FAM114A2,0.32907241934266407
CYFIP2,0.26790279549172935
TAB2,0.038369570844387295
GINM1,0.4702041741206576
EIF2AK2,0.22969156707932809
USP36,0.13604583671401443
KMT2C,0.4783805071356957
MCOLN3,0.047426750726220074
CCDC85A,0.0033528154060434253
PUM2,0.042475756607312634
MRPL43,0.1639789165835929
ITIH4,0.6921608406504388
ITIH1,0.06742924387006081
HPF1,0.37805704665012396
ZFR,0.14531878351126407
ZNF280C,0.23395165584348276
NPFFR2,0.1947692584986614
PHF21B,0.175820368283789
TRAF1,0.020909008469090763
RC3H2,0.7414576051335553
KIFC1,
IL17RB,0.13288106257344356
TRAF3IP2,0.41476498598412936
GYG2,0.4616101035810154
DCBLD2,0.010105325522848322
SERPINB3,0.06597128629880374
SOAT1,0.05967866463950474
PKP2,0.07486656005116915
MSH4,0.026672636065032212
F7,0.056299039064588614
GDI2,0.05207305854233076
PRDM1,0.2312464838158984
ATG5,0.19124360104527144
TMCC3,0.2835952006858262
PITHD1,0.03147957910578491
MTA3,0.4507056519824355
USP13,0.49831475149775195
ATP11B,0.4299725930839634
LAMC2,0.029600011871897286
CDK14,0.08516196675920076
SEC61A1,0.021931907216276077
PPP1R12A,0.2665595219075699
RASGRF1,0.0075136866328936
CAMK2B,0.45230409504060753
CROCC,0.5350206772591616
POLR3E,0.004097269488832866
ATP2B4,0.0017157108704050081
ZC3H11A,0.015388465114871786
RIOK2,0.28465646949864293
YIPF1,0.0535975008255602
NDC1,0.39437951454639286
DGKG,0.056460683237212254
FLYWCH1,0.08239703406797275
UNKL,0.961402031792735
TBXAS1,0.5945389477764115
PARP12,0.15790356369538597
ALDH18A1,0.056837738261767905
TARBP1,0.0031650855441240624
GATB,0.5846497234450643
MXD1,0.2155349359970935
CDK17,0.0430946307009597
DNAJC25,0.4932697633340386
SLC2A3,0.9314822932440379
PSD,0.9900563240919585
CTDP1,0.019082181382997873
YBX3,0.14513696994894096
STYK1,0.044841487016985024
WNK1,0.11120653998478815
CCAR1,0.36746289047029235
OGFR,0.07211365697629359
GNA15,0.09266064848749289
CREB3L3,0.16294445259210405
PIGV,0.1156171179308056
PTPRU,0.3172090417765073
SNRNP40,0.02240192851698385
RIMBP2,0.06838995081069707
COL11A1,0.023265421477529257
QSER1,0.5779478674770016
MPC1,0.17849014622874862
ACAA1,0.9885452221109312
BCAT1,0.192977563301592
HDAC7,0.027138453536036364
LZTS1,0.6617656780287076
PRDM6,0.12432683814165983
WNT8A,0.08619172057693272
SPAG4,0.11957259559051832
NCKAP1,0.02316885020919839
MRPS35,0.10864130641989707
GUCY1B3,0.017510851937908325
SFSWAP,0.7438376100043385
TNK2,0.712577749998653
MON2,0.47965073320067253
CDH3,0.40949366833583956
ARSF,0.01598648684302394
GPBP1,0.03685922240003345
DGAT2,0.6618650894118139
ZNF112,0.5126298261091549
CS,0.16975140056787658
LTK,0.26652365537007083
MRPS24,0.056804988499504355
ELMO2,0.08177636379790158
WAPL,0.08539730960196922
VMP1,0.0033052883423186808
APPBP2,0.2826694418622918
POLD1,0.5433539914495772
SEZ6,0.25167955027588723
EIF4B,0.02106785688393311
SLC6A16,0.06054422205705856
BICRA,0.5974628889930107
SPHK2,0.4662690016914045
RPL18,0.8095831163340372
CA11,0.22947975617647243
ISOC2,0.8866589602160113
U2AF2,0.17429541825038625
EPN1,0.4115651875847417
MED29,0.01058321346570966
AHRR,0.23785285650989604
GSC2,0.7669969140259377
ZNF275,0.6463326207287532
MTMR1,0.6658935934920278
GPC1,0.9415017841368015
ADCK1,0.009208974934917352
HAGH,0.0937010628702364
RNF4,0.012481507914816956
CASP8,0.9114373765954819
LIMCH1,0.6409889964657978
INTS13,0.3497477952480893
TM7SF3,0.70520082245876
DLX3,0.9017930197951352
SPA17,0.04997426599681107
TSPAN32,0.03798532703336285
WISP2,0.022181807817247674
DMRT3,0.03473028689008644
ST3GAL6,0.3958736299101604
ATP2C2,0.0991868345045061
NGFR,0.9091960828045671
CDON,0.04815644490326689
TAF2,0.5781606215398563
HIPK2,0.1944565838441102
TNPO3,0.08066359648241826
BORCS8-MEF2B,0.34083448618909673
RFXANK,0.22306257623533116
TMEM161A,0.8421846117169319
LPAR2,0.07230675145772379
CTSA,0.03211633216477212
SUGP2,0.25219036372858017
SLC12A2,0.9001431060926575
SNX24,0.8084997940439747
EYA2,0.03599585994075094
CNN2,0.7858961943532695
ABCA7,0.27194086879252405
SNCAIP,0.14733062137602462
DDX20,0.29985812927906125
BTBD1,0.09373652362695176
FAR2,0.15056000484783041
BCAS1,0.055498803600679616
POU1F1,0.0005985146145415516
CHI3L2,0.04680440602152238
SBNO2,0.04560186286926437
PMS1,0.666787126191464
HMG20B,0.05558273691368677
CALCRL,0.01640273993575824
TAF11,0.37614107425602783
ANKS1A,0.05146745207683738
AP3D1,0.10143426955610978
ZNF76,0.3102262052633791
SLC9A3R2,0.8441420900527166
NTHL1,0.8564414558367475
UHRF1BP1,0.9932930935427304
GNAI3,0.23361726430140306
IPO5,0.14580583388835677
OAT,0.14692176259715084
WDR3,0.6401514430484487
PKN2,0.5859987251039049
WDR18,0.026829081366213613
TRAM2,0.17445460559930923
NTN1,0.06981822066017046
GLP2R,0.051800415457142084
MCM10,0.10094885578613257
DGKA,0.19511333990903956
ERBB3,0.15270853331631648
ROPN1,0.04351668456361762
ANKRD44,0.20296437855203073
KARS,0.03245076500781108
ADAT1,0.6271619711735068
PDIA5,0.17592238393764636
TBC1D22B,0.160284212760228
NDUFB4,0.17626244933460528
SPEN,0.9451447920047676
MYLK,0.18886664503970535
ZC3H15,0.2743085544405222
MAP2K4,0.05539258446222556
TMEM206,0.36813983561026464
SNAP91,0.14049890148413355
SLK,0.3742093066039357
CYB5R4,0.34456390243419177
COL17A1,0.029078457175199152
GSTO2,0.0264665499658093
SEC61A2,0.4825927195863299
PRKCQ,0.036692806135869435
TLE2,0.31500750948367884
ASB1,0.5583568604134576
