,CLL_p_value,T2D_p_value
SNORA19,0.0002592722336230181,0.01971926702436165
LINC00852,0.00027034381137259485,0.035292523803276965
GRK1,0.00027035772424967514,0.04068464972517045
HSP90AA1,0.0002726775987184453,1.142748528977292e-05
SCARB1,0.0002829678248635634,0.00020407464241027076
MOB3B,0.0002891351818440243,0.018398781326406342
C1orf115,0.00029098667522466386,0.00793402694577298
PAFAH1B2,0.00030249197162081907,5.22056621759784e-05
BANK1,0.0003240956678518727,0.0006730736823432839
LINC00659,0.0003322826307176488,0.00928008181732917
KCNQ5-AS1,0.0003444211440382808,0.00762546187388483
TMEM250,0.0003523650763937302,0.0002756684229194921
EZR,0.0003545757941636712,0.0006450793740519178
LOC101928844,0.00035791308219027944,0.027399736226327753
BAG3,0.00035961401093122,0.00019682234039051895
GGT6,0.0003713882817744163,0.019942608843428127
PTGES3,0.0003939930647166684,5.91980386284662e-06
TPST1,0.0003988763245264339,9.230159466193295e-05
SURF4,0.0004019119073882171,6.187765507911148e-05
TUBA1C,0.0004275143099422861,0.004836089114301056
AK8,0.00043278504265699554,0.007247636742419331
ACAP3,0.0004373505329346508,9.434273425949988e-05
LINC01547,0.00044902223366001764,0.00017891951363476497
MAN1A1,0.0004541815833649601,0.0005463743563393662
EPB41L2,0.00045854315913050457,0.0003289997330624338
ZNF618,0.00046513081845357766,0.00020872179363896876
HEPN1,0.0004715072506562551,0.007065556771594441
PELO,0.0004725330134332465,4.387265032837325e-06
TMEM115,0.00047874615449803855,0.00014478285778387337
DOLK,0.0004834296014349393,2.94525146548554e-05
GAB2,0.0004921025383935875,0.0001292410855762598
SPOCK2,0.0005118588563174019,0.022113341354351345
TRIM69,0.0005267835096977702,0.00018496938226933812
DPF3,0.000540318983098667,0.0002786057589215027
ST6GALNAC4,0.0005572169536923509,0.0006486110812011117
SELENOT,0.0005605122560860422,8.152177469405104e-05
TSC22D3,0.0005611226611433271,8.51323338597441e-06
TTC34,0.0005624455064787603,0.038644935597681215
MIR421,0.0005640109278206076,0.008793092298449226
HSPD1,0.0005657746390269871,8.839109735106473e-07
XKR8,0.0005736983050090284,0.0003982645830644401
SNORA28,0.0005824473480888662,0.028416293317733647
EMC6,0.0006016836846260926,0.0004405494795892503
HSPA8,0.0006049044655861141,3.0670424981759603e-06
IL5RA,0.000637039591771752,0.0003106456347835412
PIK3C2B,0.0006460245254158013,8.677051986382371e-05
ASPH,0.0006487974554499296,0.00012210465982971815
MACF1,0.0006503574868111107,0.0016126492417229362
SCPEP1,0.0006596293131454784,1.749238201288765e-06
MBP,0.0006843916254396626,2.791794643587802e-05
SAMD4A,0.0007084256679278423,0.0038314206194392146
PTPRN2,0.0007187647343994063,7.646638632934572e-05
EPYC,0.0007290985822540804,0.013831074290186296
GATA6,0.0007342636438568731,0.025890444685722484
CCDC150,0.0007427753848717042,0.0012576572604566663
LOC100506682,0.0007486454829998246,0.03838095657269849
FLJ36000,0.000755815158753495,0.0034913600088415657
KEAP1,0.0007589996940168274,2.67914957533642e-05
LOC100996447,0.0007658012181899561,0.008718423087981226
MORF4L1,0.0007684397681526107,1.0287428917819178e-06
ATP1B3,0.0007707990677353542,0.001457035621032118
SMG8,0.0007739203244079282,5.437810413633112e-06
VDAC1,0.0007782167305552991,3.0941052857753203e-06
IL15,0.0007788779848421877,0.02295562690982324
ILK,0.0007892796563661571,0.00021870965548227318
PLAC8,0.0007898643988956946,0.0007266034914398443
MAMDC2,0.0008166559676454884,4.4161147758716517e-05
BORCS6,0.0008170202671524922,0.0001230282283981138
PSMB5,0.0008218183734831176,0.038493439002081464
DNAJA1,0.0008274015815457449,1.3173186366275647e-06
IQSEC1,0.0008450295998957838,2.4919809149196254e-05
ADARB1,0.0008472831883900958,0.0006078472050364083
CCSER1,0.0008590029838171882,5.040301092499994e-06
BZW1,0.000873439209482123,7.434931900992002e-05
MATN3,0.0008985515467056872,0.014152842912793262
PPP1R14A,0.000907341276091648,0.0319751054602668
MAPK6,0.0009086641611736356,0.001369342254516683
RPL7L1,0.0009117097819472399,3.9350554191390393e-07
GPX8,0.0009169837106731538,0.0007700999006653987
LINC00106,0.0009205269397644251,0.00038340779747660634
SNRPG,0.0009325051970047178,0.013070775848718963
DOK7,0.0009401737034201424,0.01637023939462499
SNORA75,0.0009760781832535318,0.029803060966458593
LOC101927837,0.0010058154828976081,4.6221056171760165e-06
CD63,0.0010092767450019821,8.668933738907058e-07
KMT5A,0.0010180447390675616,0.00012116783065349789
BTG3,0.001019513654956854,3.497141526837791e-05
CISD2,0.0010378373829407468,6.289974049424755e-07
MXI1,0.0010400873107967133,0.002395315267488066
DYNC1I2,0.0010479450162308689,2.6928969735788728e-08
NCRNA00250,0.0010664272418176128,0.02301634840237543
PNRC2,0.0010718828812256364,4.810445618107971e-06
FADD,0.001073791099464606,0.00028537245100008444
TAS2R46,0.0010866155280182472,0.010385626219402354
LINC00327,0.0011003104329239375,0.0009307646156999302
RALGDS,0.001105978619120916,7.228849553499083e-05
TEX9,0.0011194659215152168,8.348619654768815e-07
SDHD,0.0011196113123737694,1.9869310758067056e-09
DNAJC5B,0.0011247808162149176,0.03817682488338012
GCNT1,0.0011251896008891474,2.06562083286391e-05
HS1BP3-IT1,0.00112664252363152,0.00278839387701755
SAMD1,0.0011266669454179108,0.0016746554372647272
BHLHE40,0.0011313344345483408,0.04553822450075058
TRIM21,0.001135250818958188,0.004574757948818032
EHD4,0.0011375831826859306,0.03306451452615414
DYNLL1,0.0011574777104578302,1.7556308923775063e-07
OR3A2,0.0011742270368910732,0.004994791074750259
PLAG1,0.0011786834341328861,4.001322188543773e-05
ARHGAP32,0.0011878301643603372,0.0002886500258580166
PRDX1,0.0011998412943138236,5.972311112509275e-05
BCL2L1,0.001200045757432868,3.742095007708079e-05
BTG2,0.0012068704982984384,0.02078009941331604
COPA,0.0012071820487730106,1.6856261746877665e-06
LMNB2,0.001211938151815483,0.000555594830742474
HSPE1,0.001220442008575474,2.5562802985090985e-08
EIF2AK3,0.001225824255920404,0.00028930601861894484
LOC105378044,0.001260188448381007,0.0406246194968061
FKBP4,0.0012603882002529896,0.00010405006825971894
RHOBTB3,0.0012857926273866726,5.759223955521062e-05
NFE2L1,0.0012913445665744625,8.81748553377518e-06
CALCA,0.0012915061587822046,0.021908229413262363
MAGED2,0.0013446027541778405,1.3526191782617841e-07
ISY1-RAB43,0.0013584629129917132,0.00040689677469982324
ABR,0.00135869255685269,1.8748396505433617e-05
FAM183A,0.0013680434014062019,0.006563675515380212
YWHAE,0.0013732517947655572,4.935154484027108e-10
NRBF2,0.001374779168678548,2.152003531792871e-05
ARRDC4,0.001400446627371153,0.0005323317114665671
TIMM23,0.0014051658347069447,1.131436561281976e-08
PI4K2A,0.0014176547383831523,0.0001901861509688063
BRAP,0.001417930583144761,8.696630589552195e-06
MCM6,0.0014257067444074733,4.3180346696975114e-05
NAB2,0.001427528334287382,0.0005121460906972699
TRPM2,0.0014279269317586342,0.000666709254695104
PCSK7,0.0014286215672911634,0.0014912698181933823
CARMIL3,0.0014310071546376351,0.0004292260025996185
CRIP3,0.001436522957897382,0.005066568968269568
TPH1,0.0014558252473205785,0.01438001517928325
VOPP1,0.001460138480623841,2.674822042941257e-05
OGDH,0.0014636173248061305,4.0947910212119685e-05
POP7,0.0014646294138662692,1.6919859929477505e-05
TPRG1L,0.0014719526946691105,5.839546988208517e-06
CLGN,0.001476134574051771,0.0005970807953890864
AASS,0.001476785421151654,1.013577298307452e-05
MYZAP,0.0014861325572489857,0.04381100942077769
LOC101929066,0.0014878482540760503,2.1185412111347294e-05
ZNF311,0.001495357844364704,0.047527789526332
MAGEE2,0.0015170689311451223,0.0005763768588684116
ZNF460,0.0015197841248024355,0.03430240759672547
TIMM8B,0.001525028742407873,0.00016821898522773502
TPM4,0.0015403978671543654,0.005780634746075247
SCML4,0.0015754234256799282,0.0001091657712511912
SLC2A6,0.0015875223992210163,0.0002470513971892352
IL21R-AS1,0.0015936518327721656,0.004433207919714965
PHF23,0.0016118941107731767,8.994910297524436e-06
BPIFB1,0.0016150094759903916,0.03543292570994164
SNORD14A,0.0016247616945958177,0.017325319131528228
ZBTB37,0.001626273442776431,3.350340338282824e-05
VKORC1,0.0016294141888799308,1.271648422981905e-05
SNORD15B,0.0016484789253703805,0.028996860328722243
CUBN,0.0016508991193594723,0.005338069011340332
PPM1N,0.0016724384792871755,0.001537695637557659
CREB3,0.0016756258324794719,1.54983133917957e-06
AGTR1,0.0016778783107535115,0.003829761810921974
GMNN,0.0016797706595643163,0.0005115142636953855
MYL12B,0.0016811095504467844,0.005584410838225419
CLTA,0.0016823207031617265,8.286247765417e-05
SLC43A2,0.0016837052503431403,0.001969373177143431
KIF24,0.0016949061239293014,0.00294422200381137
RALA,0.001696167432678394,0.00017764924577888034
ZNF574,0.0017091884602159493,0.00030759133121838666
GPC4,0.0017113227643993033,0.015833258770660396
MGAT2,0.0017124157775496999,0.00011544138800759846
DUBR,0.001714722587559411,8.421749015589929e-07
ATP2B4,0.0017157108704050081,0.006940109045795543
MAOB,0.0017452476045424332,0.00026561550230248153
LRGUK,0.001787556834501589,0.004686698009441272
RPN1,0.001791793259185869,4.434151500090632e-06
ZDHHC14,0.0017945593126186324,0.00025067577794161207
TMED1,0.0018036228206093565,3.2862773511872543e-06
PSG4,0.0018066818695977214,0.03804727583991432
RAB6A,0.001809868621857778,9.515380883268784e-06
SCARNA8,0.0018258894653991043,0.00928379623424153
FAM181B,0.0018489475924335554,0.0010112500365414981
PLS3,0.0018913475724196746,0.0001133376667130248
GALNT10,0.001912103276483861,0.0002407904676038323
INTS5,0.0019217484097033514,0.00018787843062656362
SERBP1,0.001922044468796891,1.2853887128744045e-05
CDCA4,0.0019310824228147346,0.001761633195953885
XRCC6,0.0019437777915460902,4.037463428309731e-07
ABCG2,0.001957855644603892,0.00628795373040053
ITCH,0.0019584891542915026,2.253088375695283e-06
ANGPTL1,0.001962991271795007,0.004813106902341575
CLC,0.0019664372650469997,0.02118457548030518
ZNF215,0.0019736434829672185,0.017532607402639257
AKAP4,0.001975513099383252,0.037136626717238094
LOC102725254,0.0019874276684628423,0.010548351794579516
RFX3-AS1,0.001996063704745766,0.004675806923995055
TCEAL3,0.002002936393212417,7.888824930048304e-06
SLC38A4,0.0020060604928745156,0.0014433163558265133
FAM13A-AS1,0.0020108673570605807,0.007686280974814122
C14orf119,0.0020338584060272183,1.5550793044330378e-06
MPP6,0.0020382141123458713,8.738486633837817e-06
HSPE1-MOB4,0.002065386273791283,0.009133060284048165
GPR3,0.0020687419050474834,0.0031492375633127173
SCML1,0.002085973170304932,0.029850379039392458
ID3,0.002087997425114595,0.015415672362034375
ABHD4,0.0020936220030897297,0.0005225165931650079
MDM4,0.002095052515105534,0.009746859948598278
CORO2B,0.0020967952314955786,0.00021051616657431259
YWHAZ,0.002106271294417291,2.3862324186422833e-05
ITGB1,0.0021137624649359946,9.749209093054388e-05
APMAP,0.0021299795597863646,3.4348335274074664e-06
ETF1,0.0021753573769851286,2.5413079837851566e-05
LINC02356,0.0021845601970313534,0.008862207835190662
PHF13,0.0021894388493768698,3.464596539039982e-05
BCL2L11,0.002201551097464076,0.0004304954845878109
SELENOS,0.00220707915054974,7.3959653628957885e-06
PCDHB4,0.0022074033017435873,0.001738643065233232
EIF4H,0.002213105512405222,1.757494944245462e-05
NFE2L2,0.00221671123308787,3.0017254474127528e-05
PCBP1,0.0022410711907054153,0.0008397102070265568
ARHGAP22,0.002247826532192217,0.014079929970564509
MELK,0.00225186723222949,0.027420110486932946
GBA,0.002257428305093503,4.6006428727307405e-06
TMC4,0.002262673732376799,0.0013830151477706152
AK6,0.0022700054861552236,3.525671679087075e-08
ABCC6,0.0022770162475163895,0.00019292176432853965
SYN3,0.0022861447709094517,0.011333485589789047
IGSF5,0.002286756496175508,0.0012339608277527258
YIPF5,0.002296636099729178,2.097900093062805e-06
LINC01504,0.002298027621986993,0.005678096547258142
DNAJC12,0.0023097613679874734,0.0013268511085790045
CTSB,0.00231062086039925,0.0007119542728882719
ING2,0.002328899550408754,6.825174602454355e-06
CPA3,0.0023389162666049186,0.009531049014952747
MOXD1,0.0023416524304841657,0.00016890529251251067
SMIM2-AS1,0.002367595409997452,0.013633252167496855
NACC1,0.0023786828245554253,0.0011959352516755682
CPED1,0.0023853216760606056,0.04289483587890754
PKM,0.002393128172745441,1.897817039746605e-05
SLC6A19,0.002393259173135795,0.004924409613835351
NECTIN3,0.002415518947718924,5.304554030718126e-05
ABCA1,0.0024173822666250823,0.024718058625633928
GNS,0.0024324426937603503,1.584131012414454e-05
TMEM102,0.0024482903330350424,0.01650835621386713
SLC17A9,0.0024560581170389897,0.04021075014829783
RRAGA,0.0024673149533707473,1.1204934465539948e-05
RTN3,0.002469155045772084,7.721833156163505e-06
SMS,0.002477859473510847,9.065445355294154e-06
CDV3,0.0024888422530379845,1.4077022196095974e-05
PPIL1,0.0024954658556597745,1.2392641660742026e-07
TWF2,0.002503515123258372,0.00032593095560494223
ACTG1P17,0.0025045365654591117,0.013526578079150968
MFSD5,0.0025058916008765023,0.00018545162972549627
PA2G4,0.0025154055403001033,2.870272444583969e-06
ARHGAP25,0.0025155047451205486,0.0032343189903416628
GUCD1,0.0025327349061977514,0.02047430034054668
IAPP,0.0025357175470350243,0.0021874289178006883
SLC30A1,0.0025433626524524744,0.0016690371484830268
ATP1A1,0.002544077397891596,0.001076827918123733
LAPTM4A,0.0025588985670465672,1.9914658908968344e-08
LINC01602,0.0025592361397830427,0.04124798356935093
ZNF703,0.0025901699014829038,0.0014020584111886648
LIMS1,0.0026002229810773245,0.0008050768580793147
UBE2L3,0.0026260198612282314,2.7491688515814086e-08
GNPDA1,0.0026296548293852115,7.260907774801632e-06
MRPS7,0.0026352668507073195,6.756031668634097e-07
RXFP4,0.0026448447997344626,0.03312517610668154
FAM227A,0.0026617257116069467,0.001968872203494654
FSCN2,0.0027031551709234204,0.03374448126260884
LCA5,0.002703454998694744,1.880188058596575e-06
RHEB,0.002720088306920362,6.659512257404406e-05
SNORA31,0.002728431023688444,0.02679296693717673
MRPL17,0.002734554519049481,3.6643650521626582e-09
HMBOX1,0.002767081820220447,0.0008429698095992218
LINC01340,0.002798819249844433,0.04925427395463652
NDUFS5,0.002804528252488822,3.483845769329632e-08
MDH1B,0.0028070107481520507,1.4313498538912189e-05
PEAR1,0.0028202875776282463,0.0443472675377096
METAP1D,0.002837954516924942,4.8928527386041866e-06
RNF181,0.0028379593926478254,5.689631459693341e-05
MSMB,0.002839796410726417,0.02986906887916748
TIMP4,0.0028425411538604084,0.005524335498682336
CKMT2,0.002858401021965548,0.000940191811191509
LARGE1,0.0028661183412154114,0.0017745513717891226
SSPN,0.0028725733583011984,0.0010121893799764636
C11orf68,0.0028784038204843192,0.0006289632594939883
FKBP2,0.002882693730326289,7.342868744233457e-07
RNF185,0.0028898770868871,1.756973920262843e-05
NPHP3-AS1,0.0029073746964888743,0.003249416021276814
CACYBP,0.002910659662262175,6.78760711496252e-07
LPIN2,0.002911421289985388,3.558509758137957e-05
PPARGC1B,0.0029149799751708233,0.003366602619640365
NSDHL,0.0029187193202165848,8.387020199612188e-07
TSPAN13,0.0029222450601752324,6.858631894783998e-05
MACROD2,0.002935286126113576,5.857438140589716e-06
LOC101928797,0.0029393343251806077,0.005500567177919006
PSMC3,0.002942938732444518,1.513888625303271e-06
E2F6,0.0029529821657160015,2.9636208649567078e-05
ANXA7,0.002971917495531352,1.550253349448772e-08
TRIO,0.0029786744238712195,0.00041609921436181206
UBL4A,0.002987199910727769,0.00018231183905632366
FKBPL,0.0030090968841058286,0.00022877240316668582
PSMA6,0.0030383421915477623,0.0010889005643156392
AREG,0.0030449539871532432,0.04253230416638844
RPL36AL,0.0030513944967187853,1.8968046416921673e-05
PGD,0.0030605182284189655,2.282372873112236e-06
GUSBP5,0.0030618866763247217,9.906413298276998e-05
ZBTB16,0.003070064103044322,0.012760730175111137
LOC101929719,0.0030760002511552344,0.029150373817205207
PAIP1,0.003076273019387241,3.233973991697796e-06
PSG8,0.003079694788712676,0.01705874058314785
TUBB4B,0.0030818008151306253,0.00032648818441191683
ENAH,0.003101339742636873,0.001279241867095527
PPFIBP1,0.003105883077057331,0.00013794912774498639
SQSTM1,0.0031115916141309726,0.0002687576857298648
RPL26L1,0.003113573317196886,9.382018314582102e-06
NOP10,0.003117040684566608,1.5680835445971147e-05
UPK2,0.0031192749127382765,0.035642947384720805
IL1R2,0.0031258106902592128,0.03796721951862629
SYCE3,0.0031320908570853707,0.03846785314300044
VAV3,0.0031386363275810614,0.0002197989467769439
TBC1D16,0.0031536734687782333,0.004456568148704875
TARBP1,0.0031650855441240624,0.0002448060660255465
SPRYD3,0.0031721243036130554,2.917876131001257e-06
PARG,0.0031956294689513523,4.413891524051161e-06
C22orf24,0.0032015432688249175,0.005652343834570454
AMHR2,0.0032044223159522476,0.0037716559017477273
ANTXRL,0.0032076050002002895,0.004171581358488311
SET,0.003213358329297218,6.592354756290341e-08
SLC1A5,0.003222312738108531,0.03652996106464926
NXF2B,0.003223800930650228,0.0017655971201790176
RNF19B,0.0032351778851706764,6.560123321492658e-05
ERH,0.0032382034677796677,4.59219333213134e-09
GTF3C6,0.003240028738625566,0.00016460655746927433
TATDN1,0.0032450807264847764,8.26034041913976e-07
ARL6IP1,0.0032531048045286713,7.965844321664964e-07
WHRN,0.0032675806749232475,0.0005435266160054003
SNTB1,0.003293735822029239,0.007531697553435015
YTHDF2,0.0032988990116673495,6.535031127017504e-06
MIR3936HG,0.003300746826542883,2.4033683030905142e-05
FBXO34,0.00330320785181812,9.581864706865964e-05
ICMT,0.003323983035960302,2.9649338472021112e-05
SLC38A11,0.003334767955841003,4.7171878969249035e-05
HIGD1A,0.00333524030161773,4.58972972358313e-06
TMEM50A,0.003350443055172285,2.9367240902869054e-06
RGS10,0.0033508098973674496,0.004659497119785605
CCDC85A,0.0033528154060434253,0.0010342913475034023
TMED6,0.003368209397815992,1.7704482872006576e-06
ARHGAP19-SLIT1,0.0033754151311789523,0.02634318040007028
WDR82,0.0033995819797337057,9.75357685521951e-06
ERICH6,0.003410006133515285,0.017050707438975528
SNX12,0.0034359816942457167,1.677684152568098e-06
ALG2,0.003450774067363066,1.3799415373165848e-05
MAP1S,0.003452576976228636,3.219951659117252e-05
NRBP1,0.0034718935552639635,0.00010143207263332733
ATG5,0.003512489825428744,8.642295483517486e-07
CABYR,0.0035215503260139424,0.0006428116858729961
PLPP5,0.0035219259379817205,2.538490685785914e-06
STX19,0.0035377085882441622,0.010202044505097674
ST6GALNAC6,0.0035708771676585265,0.00011147584924340563
TM4SF19-AS1,0.0035822415884292896,0.002746944898896208
KIAA2013,0.003594969597221135,0.0008917331035633514
TMEM144,0.003598008045834995,6.263334133611288e-05
DGKD,0.00360067334540531,0.0005999394302868271
SLC25A42,0.0036084195928633325,6.020477803080978e-06
LINC01090,0.0036131700876675635,0.03701907617578548
HIVEP1,0.003631135093405076,7.776830041776866e-05
LOC105375624,0.0036333869661806122,0.04539679823544378
TMEM208,0.0036333930041498176,5.776309922004289e-09
AP5B1,0.0036356352317303805,0.0007713141020758783
SEC23B,0.0036469468331476415,7.170555004262757e-08
CD200R1L,0.003648078674318078,0.031010326232988498
ANKRD34C,0.0036532237791709883,3.7293968169660006e-05
PLEKHB2,0.0036584510307932296,1.8554288481941052e-05
BRF2,0.0036647867491139056,2.3742888319916e-05
HNRNPF,0.0036992077937136503,4.2905805712674684e-06
STIP1,0.003699287140692873,1.864049853271401e-05
RIOX1,0.003715376399526369,6.560738413016097e-05
C1orf43,0.003745928320670289,1.6836141614766346e-06
NYAP2,0.003757198278167434,0.00029031275523223995
APBA1,0.0037574311054425387,1.3931688673262386e-05
MRFAP1L1,0.0037916532861228336,1.0849794465980393e-06
PRR29,0.0037917650811810223,0.03892030486188861
HTR1E,0.0037918558812549976,0.048005950207622966
DACT2,0.0038014895914187503,0.0003981075647170535
OR2C3,0.003806792330456653,0.03964872284002757
RALBP1,0.0038105194605247716,1.1137593236005186e-05
TCEAL7,0.0038183380865624765,0.0025760262485269086
CHMP1B2P,0.003834367971230004,0.0005985718133442587
KLF6,0.003834969502063866,0.02101467106904903
TREH,0.0038350372326778643,0.010772295880685625
PDZK1,0.0038382893558751617,0.00022615285723538386
GSPT1,0.003842963819955333,3.007042855735094e-05
RTN4,0.0038540902582740832,1.671313238506237e-06
CD58,0.003864619709026225,5.197481605224946e-05
FAM50A,0.0038812232975053472,8.620981373767335e-05
C1orf122,0.0038883099153838234,6.590358267346179e-05
CYFIP1,0.0038948262754727524,0.001208877501716952
SEC61B,0.003903306897999135,4.385191550758874e-08
DAAM2,0.0039101683239159465,0.00040264391032156715
INS,0.003915725179911326,5.796012514099712e-06
SPATA6,0.003918152282086064,3.5632365658318776e-05
NOTCH2,0.00392056355518358,0.04759814049391976
MRPL15,0.003923435955586915,1.7368026913141462e-07
MAP3K20-AS1,0.003941859404758119,0.026628070803873093
LOC101928371,0.003944388155637286,0.027983815744569658
SCGB2A2,0.003949173850081028,0.032161737426190364
FGF12,0.003952464050707509,2.7504903490226452e-06
DNAJC8,0.003973113542151773,2.070747845279973e-05
CCDC158,0.003988533475850731,0.0001812328521270687
JUN,0.00398921752378225,0.02290258130343238
CYP51A1,0.003993565903551857,4.7136704741860945e-07
LINC01619,0.004007393937803102,0.004134163172747182
FOCAD-AS1,0.004014105589796626,0.012286428790621374
CEP112,0.004025484957762074,1.8719607224084513e-05
CREG1,0.004044591124520657,0.0031144331191079403
UVSSA,0.004068144507426826,0.0018522898931538918
DIAPH3,0.004073579502030542,0.026462720755791282
UBQLN4,0.004073966178179792,0.001358510430865383
HDGF,0.004076599545628775,0.0002205371273564176
DNASE2B,0.0040903277062975816,0.005261035732194672
POLR3E,0.004097269488832866,2.3190937951665782e-05
PROKR1,0.0040992145012602055,0.031798007400035945
KRT40,0.004127081061491367,0.0009261239430213753
PGAM1,0.004141828804052324,0.00011274542942254355
OR13A1,0.004150704691611412,0.007253222041993943
SSH1,0.004155317539945577,4.7544350031894295e-05
TCFL5,0.004158556567826581,8.016293485136912e-05
NKX6-3,0.0041609055271125605,0.0009158657282489433
PEX12,0.004165840656594861,4.290221206542442e-06
CSMD1,0.004173282874834641,0.016532112433698124
ZNF544,0.0041778545006447764,6.482659755889353e-06
ANK3,0.004195289767203039,0.0003499490829840425
CYYR1-AS1,0.00419978075395778,0.009840824987130719
ALDOA,0.004227487688902771,0.0003311168163027967
OR2A14,0.004237865075280284,0.007291418784582519
SDCBP,0.004239353108734733,0.0010836833417917629
DUSP1,0.004248819809509154,0.01941967119835102
REG4,0.004250296614290082,0.021903315451378073
PARS2,0.0042569211963602305,2.416631456745314e-06
SNAPIN,0.004288956332677127,2.5007642771365277e-07
CENPP,0.004303847596756577,0.010154560466329957
THSD7A,0.004307351703789404,0.032312268972827955
ZNF214,0.004317269059208621,9.852139603438295e-06
LAMTOR2,0.004322661139753325,1.287489610541508e-05
CKAP4,0.00432519929435909,0.0004982423614378548
ZDHHC18,0.004331425728063049,0.00027079171066839034
MRPL49,0.004339619993038961,5.880696619653159e-06
MAPKAPK2,0.00434635855138883,0.0005972517125662346
SLC3A2,0.004349090443566758,0.0007698948107796124
ZNF587B,0.004384391491057354,8.148869354510878e-07
ACTG1,0.004394455888601853,0.04056116238540284
ZCCHC3,0.0043944770570947915,3.660593730324577e-05
TRIM8,0.004395645387725029,0.005042177957924723
LINC01659,0.0044752223698548135,0.008433191851961416
CD59,0.004479238526764108,0.00012194353082796226
SNORA33,0.004496671890180167,0.031203000538953713
DUSP3,0.004501005379673117,2.5138611992882527e-06
TOM1,0.004503032265338594,3.3370578117975374e-05
GORASP2,0.004517970002443647,2.0059566528375335e-05
WBP11,0.00452486517662318,5.173037589512556e-06
SUMO1,0.004540106725380435,8.898891469532719e-09
CSTB,0.004546686669045734,6.553447566416485e-06
ADAM23,0.004582306798042844,0.0015034295993161635
MACC1,0.0045894373568448,0.024638260886774444
SNORD11,0.004589795117044703,0.00042994706647548746
LINC02212,0.00459485018986601,0.006609500416692503
GPBAR1,0.004596159510522504,0.0005112115612494278
CNRIP1,0.004599737052230979,1.9828574608299483e-05
ARMC10,0.004599822263202248,2.9791811234828323e-05
FAM66B,0.004635114215739802,5.624646955259069e-05
STK33,0.004642530530900777,4.956930238158604e-06
STARD7,0.004645641346432392,2.40713373557521e-06
MIR590,0.0046503474263620845,0.001972504127715321
SCGB2A1,0.004654861423193009,6.697350248142642e-05
LEPROTL1,0.004656476875718613,2.86404691389924e-07
C11orf98,0.004676644780664002,3.333150151711047e-06
PRKAR1A,0.004692187425129391,8.732728359757626e-06
APOL4,0.004720395883492019,0.0003322427035835802
BAAT,0.004743738411911187,0.001975406470570027
SNORA2A,0.004747022032300553,0.024060089220684342
GTF2F1,0.0047701886401298275,1.9045819696815027e-05
ARL8B,0.004772764584103917,0.0020230916506106212
MNS1,0.0047756752461287025,3.045783715914716e-05
NAPRT,0.004797369114185152,0.0031580605561053986
ZNF430,0.00480969284391277,4.902109060287161e-05
RNF11,0.004812679760573162,1.3223072723071824e-05
