SOCS1,CD3D,CCL4,IL7R,TSSC2,SAMSN1,PTPN7,CD300C,VSIG4,CXCL10,GPR84,CD300E,THBS1,FPR1,FSIP1,PDCD1LG2,MT1E,CCL5,GZMB,SEMA6B,AQP9,IL2RA,LILRB4,CD3G,CYTIP,CD209,PPBP,CCL7,CLEC5A,LRRC25,CCL4L2,IL18RAP,P2RY6,ITK,FLT4,KLRC1,CCL3,NKG7,IL2RB,GZMA,MT2A,IL1B,APOD,PRF1,GIMAP6,MT1G,IDO1,FCGR3A,CXCR6,FCER1G,IFIT3,BATF3,SLFN12L,IL10,SIGLEC7,GZMH,CD7,OLR1,S100A8,label
27.0,54.0,3.0,134.0,17.0,139.0,19.0,0.0,21.0,1798.0,13.0,12.0,16964.0,16.0,20.0,15.0,8069.0,333.0,97.0,137.0,14.0,16.0,0.0,65.0,53.0,20.0,0.0,164.0,48.0,6.0,1.0,3.0,12.0,47.0,11.0,14.0,87.0,27.0,29.0,82.0,14617.0,170.0,118.0,5.0,23.0,9817.0,148.0,0.0,15.0,262.0,1867.0,8.0,24.0,56.0,0.0,7.0,0.0,32.0,71.0,0.0
28.0,6.0,0.0,144.0,76.0,84.0,26.0,28.0,5.0,85.0,4.0,0.0,5659.0,0.0,54.0,1.0,414.0,75.0,28.0,168.0,38.0,1.0,6.0,9.0,154.0,39.0,8.0,34.0,48.0,14.0,0.0,2.0,11.0,9.0,13.0,0.0,49.0,2.0,10.0,1.0,608.0,118.0,28.0,5.0,6.0,143.0,153.0,7.0,4.0,173.0,1886.0,14.0,2.0,19.0,5.0,0.0,2.0,72.0,6.0,0.0
28.0,110.0,4.0,209.0,103.0,231.0,11.0,12.0,18.0,116.0,22.0,1.0,28976.0,17.0,4.0,0.0,1913.0,468.0,119.0,48.0,16.0,16.0,0.0,101.0,60.0,63.0,0.0,143.0,135.0,10.0,0.0,10.0,10.0,18.0,22.0,11.0,174.0,44.0,33.0,63.0,3730.0,204.0,241.0,14.0,14.0,1082.0,91.0,30.0,12.0,862.0,909.0,3.0,26.0,41.0,0.0,10.0,16.0,106.0,133.0,0.0
29.0,17.0,3.0,255.0,30.0,206.0,12.0,3.0,224.0,144.0,39.0,6.0,18259.0,2.0,37.0,4.0,2369.0,253.0,41.0,156.0,19.0,55.0,0.0,36.0,30.0,64.0,35.0,419.0,102.0,20.0,0.0,5.0,21.0,49.0,10.0,5.0,142.0,21.0,15.0,27.0,4813.0,393.0,207.0,8.0,21.0,1789.0,57.0,13.0,14.0,638.0,1760.0,18.0,41.0,49.0,0.0,0.0,0.0,50.0,213.0,0.0
31.0,3.0,3.0,130.0,45.0,187.0,27.0,17.0,8.0,147.0,20.0,29.0,4524.0,3.0,47.0,35.0,6118.0,352.0,53.0,149.0,72.0,58.0,9.0,48.0,46.0,50.0,3.0,254.0,19.0,17.0,0.0,7.0,59.0,31.0,21.0,4.0,488.0,5.0,2.0,21.0,16101.0,488.0,296.0,2.0,26.0,3913.0,216.0,11.0,7.0,793.0,2804.0,37.0,20.0,86.0,13.0,2.0,2.0,81.0,64.0,0.0
31.0,15.0,3.0,189.0,15.0,183.0,49.0,15.0,217.0,61.0,39.0,6.0,13093.0,43.0,21.0,29.0,2501.0,247.0,34.0,91.0,7.0,45.0,10.0,46.0,50.0,102.0,7.0,28.0,73.0,33.0,0.0,8.0,51.0,28.0,15.0,3.0,131.0,16.0,12.0,0.0,7660.0,99.0,126.0,3.0,23.0,1390.0,86.0,26.0,19.0,911.0,1378.0,16.0,19.0,71.0,26.0,0.0,0.0,107.0,74.0,0.0
34.0,13.0,6.0,125.0,97.0,120.0,28.0,14.0,88.0,14.0,2.0,3.0,3574.0,9.0,112.0,13.0,617.0,89.0,28.0,292.0,64.0,7.0,8.0,34.0,138.0,193.0,2.0,25.0,21.0,14.0,0.0,1.0,29.0,6.0,43.0,1.0,55.0,4.0,15.0,34.0,1086.0,113.0,21.0,5.0,42.0,903.0,88.0,63.0,7.0,391.0,2539.0,6.0,9.0,13.0,13.0,1.0,7.0,100.0,6.0,0.0
34.0,58.0,8.0,173.0,18.0,423.0,16.0,14.0,38.0,219.0,24.0,16.0,27101.0,0.0,26.0,32.0,5416.0,317.0,163.0,86.0,33.0,77.0,25.0,83.0,75.0,21.0,0.0,54.0,33.0,2.0,0.0,0.0,17.0,3.0,8.0,11.0,273.0,28.0,12.0,142.0,10623.0,397.0,285.0,17.0,9.0,4644.0,231.0,10.0,27.0,576.0,3113.0,30.0,11.0,36.0,14.0,3.0,3.0,16.0,85.0,1.0
36.0,0.0,0.0,93.0,114.0,119.0,22.0,14.0,155.0,17.0,2.0,0.0,8980.0,2.0,60.0,20.0,277.0,172.0,22.0,427.0,9.0,3.0,31.0,18.0,48.0,65.0,49.0,17.0,40.0,13.0,0.0,7.0,14.0,21.0,54.0,1.0,36.0,2.0,5.0,2.0,654.0,82.0,291.0,1.0,37.0,172.0,18.0,2.0,0.0,128.0,1607.0,2.0,13.0,11.0,4.0,0.0,9.0,107.0,54.0,0.0
36.0,3.0,21.0,102.0,18.0,183.0,18.0,0.0,4.0,111.0,12.0,13.0,8004.0,6.0,20.0,34.0,2719.0,247.0,81.0,130.0,29.0,9.0,6.0,25.0,43.0,32.0,3.0,51.0,8.0,5.0,0.0,0.0,104.0,32.0,28.0,4.0,169.0,0.0,7.0,4.0,6820.0,235.0,500.0,0.0,36.0,1350.0,86.0,0.0,3.0,549.0,1370.0,18.0,33.0,93.0,14.0,0.0,1.0,72.0,55.0,0.0
38.0,7.0,1.0,160.0,26.0,190.0,29.0,5.0,56.0,115.0,12.0,16.0,8560.0,4.0,142.0,11.0,2030.0,480.0,120.0,314.0,56.0,33.0,0.0,47.0,33.0,107.0,7.0,85.0,29.0,25.0,0.0,0.0,62.0,79.0,22.0,15.0,346.0,9.0,0.0,13.0,7781.0,986.0,586.0,17.0,58.0,1906.0,69.0,20.0,15.0,677.0,1643.0,56.0,65.0,96.0,23.0,3.0,1.0,95.0,153.0,0.0
38.0,20.0,0.0,157.0,39.0,145.0,2.0,10.0,14.0,1446.0,64.0,89.0,14709.0,1.0,30.0,33.0,5140.0,485.0,197.0,114.0,42.0,53.0,3.0,51.0,60.0,46.0,0.0,1855.0,39.0,20.0,0.0,2.0,7.0,17.0,6.0,13.0,491.0,25.0,18.0,26.0,11690.0,1354.0,94.0,7.0,11.0,3617.0,340.0,1.0,17.0,504.0,7956.0,52.0,29.0,79.0,19.0,7.0,7.0,82.0,116.0,1.0
40.0,13.0,1.0,224.0,59.0,177.0,13.0,12.0,95.0,212.0,33.0,0.0,16392.0,6.0,41.0,11.0,409.0,133.0,13.0,466.0,29.0,3.0,32.0,12.0,190.0,67.0,101.0,51.0,137.0,18.0,0.0,0.0,26.0,26.0,37.0,2.0,108.0,4.0,13.0,8.0,832.0,233.0,116.0,4.0,46.0,189.0,33.0,6.0,6.0,305.0,2326.0,1.0,8.0,21.0,6.0,1.0,15.0,248.0,219.0,0.0
42.0,5.0,0.0,21.0,81.0,31.0,9.0,4.0,43.0,14.0,7.0,0.0,26025.0,2.0,116.0,9.0,833.0,70.0,36.0,243.0,13.0,0.0,0.0,11.0,61.0,27.0,5.0,2.0,7.0,11.0,0.0,1.0,23.0,28.0,25.0,0.0,4.0,0.0,26.0,8.0,1160.0,77.0,43.0,3.0,12.0,579.0,5.0,0.0,0.0,127.0,1323.0,8.0,4.0,11.0,5.0,0.0,3.0,66.0,12.0,0.0
42.0,65.0,2.0,183.0,19.0,284.0,34.0,51.0,1034.0,837.0,178.0,128.0,12103.0,18.0,43.0,27.0,5549.0,614.0,115.0,382.0,101.0,56.0,22.0,140.0,134.0,157.0,30.0,83.0,263.0,48.0,4.0,2.0,19.0,35.0,16.0,14.0,272.0,31.0,5.0,51.0,9554.0,996.0,390.0,5.0,25.0,5381.0,205.0,4.0,32.0,1225.0,3582.0,31.0,29.0,73.0,44.0,6.0,0.0,123.0,382.0,0.0
44.0,8.0,0.0,132.0,94.0,57.0,6.0,17.0,19.0,9.0,1.0,13.0,5030.0,3.0,86.0,6.0,372.0,55.0,61.0,187.0,10.0,3.0,1.0,4.0,103.0,88.0,1.0,10.0,34.0,15.0,0.0,0.0,17.0,14.0,29.0,0.0,37.0,8.0,0.0,4.0,697.0,76.0,69.0,1.0,13.0,242.0,35.0,18.0,0.0,167.0,1567.0,15.0,5.0,14.0,10.0,0.0,1.0,51.0,2.0,0.0
44.0,18.0,23.0,120.0,1.0,359.0,4.0,15.0,5.0,429.0,11.0,27.0,8144.0,3.0,52.0,14.0,10931.0,281.0,34.0,86.0,30.0,27.0,1.0,25.0,47.0,59.0,3.0,83.0,15.0,10.0,0.0,5.0,53.0,25.0,21.0,10.0,210.0,27.0,16.0,65.0,19913.0,93.0,287.0,12.0,21.0,8777.0,191.0,3.0,16.0,468.0,1125.0,13.0,19.0,7.0,9.0,8.0,0.0,44.0,85.0,0.0
44.0,71.0,0.0,134.0,7.0,237.0,8.0,2.0,290.0,2017.0,34.0,4.0,16069.0,0.0,8.0,3.0,5496.0,231.0,73.0,73.0,115.0,75.0,3.0,23.0,35.0,108.0,28.0,60.0,170.0,7.0,0.0,0.0,50.0,28.0,9.0,23.0,75.0,28.0,19.0,122.0,9403.0,348.0,196.0,3.0,17.0,5274.0,103.0,14.0,1.0,939.0,2339.0,21.0,12.0,19.0,14.0,0.0,2.0,71.0,264.0,0.0
45.0,19.0,0.0,41.0,74.0,132.0,31.0,13.0,107.0,45.0,0.0,0.0,3561.0,11.0,1561.0,5.0,438.0,124.0,26.0,285.0,33.0,18.0,15.0,17.0,110.0,101.0,8.0,6.0,27.0,34.0,0.0,4.0,29.0,12.0,59.0,8.0,28.0,12.0,19.0,64.0,763.0,99.0,45.0,10.0,93.0,255.0,68.0,94.0,2.0,288.0,2787.0,3.0,11.0,22.0,6.0,3.0,3.0,108.0,2.0,0.0
45.0,24.0,23.0,121.0,9.0,225.0,10.0,2.0,377.0,1405.0,41.0,12.0,20143.0,14.0,37.0,39.0,3109.0,246.0,58.0,111.0,59.0,41.0,0.0,20.0,80.0,70.0,89.0,117.0,137.0,8.0,0.0,4.0,17.0,13.0,16.0,4.0,314.0,15.0,41.0,22.0,9006.0,1061.0,541.0,0.0,41.0,4217.0,181.0,21.0,11.0,809.0,2471.0,42.0,14.0,45.0,0.0,1.0,0.0,94.0,171.0,1.0
47.0,2.0,3.0,54.0,32.0,145.0,19.0,5.0,66.0,40.0,2.0,17.0,12123.0,9.0,34.0,2.0,3472.0,205.0,32.0,149.0,48.0,37.0,26.0,28.0,73.0,47.0,22.0,35.0,46.0,5.0,0.0,0.0,44.0,43.0,22.0,4.0,94.0,9.0,9.0,1.0,6488.0,329.0,101.0,2.0,16.0,1500.0,66.0,12.0,1.0,467.0,1947.0,23.0,25.0,23.0,0.0,0.0,0.0,47.0,84.0,0.0
